frame,t_s
0,0.0
1,0.008
2,0.016
3,0.024
4,0.032
5,0.04
6,0.048
7,0.056
8,0.064
9,0.072
10,0.08
11,0.088
12,0.096
13,0.104
14,0.112
15,0.12
16,0.128
17,0.136
18,0.144
19,0.152
20,0.16
21,0.168
22,0.176
23,0.184
24,0.192
25,0.2
26,0.208
27,0.216
28,0.224
29,0.232
30,0.24
31,0.248
32,0.256
33,0.264
34,0.272
35,0.28
36,0.288
37,0.296
38,0.304
39,0.312
40,0.32
41,0.328
42,0.336
43,0.344
44,0.352
45,0.36
46,0.368
47,0.376
48,0.384
49,0.392
50,0.4
51,0.408
52,0.416
53,0.424
54,0.432
55,0.44
56,0.448
57,0.456
58,0.464
59,0.472
60,0.48
61,0.488
62,0.496
63,0.504
64,0.512
65,0.52
66,0.528
67,0.536
68,0.544
69,0.552
70,0.56
71,0.568
72,0.576
73,0.584
74,0.592
75,0.6
76,0.608
77,0.616
78,0.624
79,0.632
80,0.64
81,0.648
82,0.656
83,0.664
84,0.672
85,0.68
86,0.688
87,0.696
88,0.704
89,0.712
90,0.72
91,0.728
92,0.736
93,0.744
94,0.752
95,0.76
96,0.768
97,0.776
98,0.784
99,0.792
100,0.8
101,0.808
102,0.816
103,0.824
104,0.832
105,0.84
106,0.848
107,0.856
108,0.864
109,0.872
110,0.88
111,0.888
112,0.896
113,0.904
114,0.912
115,0.92
116,0.928
117,0.936
118,0.944
119,0.952
120,0.96
121,0.968
122,0.976
123,0.984
124,0.992
125,1.0
126,1.008
127,1.016
128,1.024
129,1.032
130,1.04
131,1.048
132,1.056
133,1.064
134,1.072
135,1.08
136,1.088
137,1.096
138,1.104
139,1.112
140,1.12
141,1.128
142,1.136
143,1.144
144,1.152
145,1.16
146,1.168
147,1.176
148,1.184
149,1.192
150,1.2
151,1.208
152,1.216
153,1.224
154,1.232
155,1.24
156,1.248
157,1.256
158,1.264
159,1.272
160,1.28
161,1.288
162,1.296
163,1.304
164,1.312
165,1.32
166,1.328
167,1.336
168,1.344
169,1.352
170,1.36
171,1.368
172,1.376
173,1.384
174,1.392
175,1.4
176,1.408
177,1.416
178,1.424
179,1.432
180,1.44
181,1.448
182,1.456
183,1.464
184,1.472
185,1.48
186,1.488
187,1.496
188,1.504
189,1.512
190,1.52
191,1.528
192,1.536
193,1.544
194,1.552
195,1.56
196,1.568
197,1.576
198,1.584
199,1.592
200,1.6
201,1.608
202,1.616
203,1.624
204,1.632
205,1.64
206,1.648
207,1.656
208,1.664
209,1.672
210,1.68
211,1.688
212,1.696
213,1.704
214,1.712
215,1.72
216,1.728
217,1.736
218,1.744
219,1.752
220,1.76
221,1.768
222,1.776
223,1.784
224,1.792
225,1.8
226,1.808
227,1.816
228,1.824
229,1.832
230,1.84
231,1.848
232,1.856
233,1.864
234,1.872
235,1.88
236,1.888
237,1.896
238,1.904
239,1.912
240,1.92
241,1.928
242,1.936
243,1.944
244,1.952
245,1.96
246,1.968
247,1.976
248,1.984
249,1.992
250,2.0
251,2.008
252,2.016
253,2.024
254,2.032
255,2.04
256,2.048
257,2.056
258,2.064
259,2.072
260,2.08
261,2.088
262,2.096
263,2.104
264,2.112
265,2.12
266,2.128
267,2.136
268,2.144
269,2.152
270,2.16
271,2.168
272,2.176
273,2.184
274,2.192
275,2.2
276,2.208
277,2.216
278,2.224
279,2.232
280,2.24
281,2.248
282,2.256
283,2.264
284,2.272
285,2.28
286,2.288
287,2.296
288,2.304
289,2.312
290,2.32
291,2.328
292,2.336
293,2.344
294,2.352
295,2.36
296,2.368
297,2.376
298,2.384
299,2.392
300,2.4
301,2.408
302,2.416
303,2.424
304,2.432
305,2.44
306,2.448
307,2.456
308,2.464
309,2.472
310,2.48
311,2.488
312,2.496
313,2.504
314,2.512
315,2.52
316,2.528
317,2.536
318,2.544
319,2.552
320,2.56
321,2.568
322,2.576
323,2.584
324,2.592
325,2.6
326,2.608
327,2.616
328,2.624
329,2.632
330,2.64
331,2.648
332,2.656
333,2.664
334,2.672
335,2.68
336,2.688
337,2.696
338,2.704
339,2.712
340,2.72
341,2.728
342,2.736
343,2.744
344,2.752
345,2.76
346,2.768
347,2.776
348,2.784
349,2.792
350,2.8
351,2.808
352,2.816
353,2.824
354,2.832
355,2.84
356,2.848
357,2.856
358,2.864
359,2.872
360,2.88
361,2.888
362,2.896
363,2.904
364,2.912
365,2.92
366,2.928
367,2.936
368,2.944
369,2.952
370,2.96
371,2.968
372,2.976
373,2.984
374,2.992
375,3.0
376,3.008
377,3.016
378,3.024
379,3.032
380,3.04
381,3.048
382,3.056
383,3.064
384,3.072
385,3.08
386,3.088
387,3.096
388,3.104
389,3.112
390,3.12
391,3.128
392,3.136
393,3.144
394,3.152
395,3.16
396,3.168
397,3.176
398,3.184
399,3.192
400,3.2
401,3.208
402,3.216
403,3.224
404,3.232
405,3.24
406,3.248
407,3.256
408,3.264
409,3.272
410,3.28
411,3.288
412,3.296
413,3.304
414,3.312
415,3.32
416,3.328
417,3.336
418,3.344
419,3.352
420,3.36
421,3.368
422,3.376
423,3.384
424,3.392
425,3.4
426,3.408
427,3.416
428,3.424
429,3.432
430,3.44
431,3.448
432,3.456
433,3.464
434,3.472
435,3.48
436,3.488
437,3.496
438,3.504
439,3.512
440,3.52
441,3.528
442,3.536
443,3.544
444,3.552
445,3.56
446,3.568
447,3.576
448,3.584
449,3.592
450,3.6
451,3.608
452,3.616
453,3.624
454,3.632
455,3.64
456,3.648
457,3.656
458,3.664
459,3.672
460,3.68
461,3.688
462,3.696
463,3.704
464,3.712
465,3.72
466,3.728
467,3.736
468,3.744
469,3.752
470,3.76
471,3.768
472,3.776
473,3.784
474,3.792
475,3.8
476,3.808
477,3.816
478,3.824
479,3.832
480,3.84
481,3.848
482,3.856
483,3.864
484,3.872
485,3.88
486,3.888
487,3.896
488,3.904
489,3.912
490,3.92
491,3.928
492,3.936
493,3.944
494,3.952
495,3.96
496,3.968
497,3.976
498,3.984
499,3.992
500,4.0
501,4.008
502,4.016
503,4.024
504,4.032
505,4.04
506,4.048
507,4.056
508,4.064
509,4.072
510,4.08
511,4.088
512,4.096
513,4.104
514,4.112
515,4.12
516,4.128
517,4.136
518,4.144
519,4.152
520,4.16
521,4.168
522,4.176
523,4.184
524,4.192
525,4.2
526,4.208
527,4.216
528,4.224
529,4.232
530,4.24
531,4.248
532,4.256
533,4.264
534,4.272
535,4.28
536,4.288
537,4.296
538,4.304
539,4.312
540,4.32
541,4.328
542,4.336
543,4.344
544,4.352
545,4.36
546,4.368
547,4.376
548,4.384
549,4.392
550,4.4
551,4.408
552,4.416
