frame,t_s
0,0.0
1,0.005
2,0.01
3,0.015
4,0.02
5,0.025
6,0.03
7,0.035
8,0.04
9,0.045
10,0.05
11,0.055
12,0.06
13,0.065
14,0.07
15,0.075
16,0.08
17,0.085
18,0.09
19,0.095
20,0.1
21,0.105
22,0.11
23,0.115
24,0.12
25,0.125
26,0.13
27,0.135
28,0.14
29,0.145
30,0.15
31,0.155
32,0.16
33,0.165
34,0.17
35,0.175
36,0.18
37,0.185
38,0.19
39,0.195
40,0.2
41,0.205
42,0.21
43,0.215
44,0.22
45,0.225
46,0.23
47,0.235
48,0.24
49,0.245
50,0.25
51,0.255
52,0.26
53,0.265
54,0.27
55,0.275
56,0.28
57,0.285
58,0.29
59,0.295
60,0.3
61,0.305
62,0.31
63,0.315
64,0.32
65,0.325
66,0.33
67,0.335
68,0.34
69,0.345
70,0.35
71,0.355
72,0.36
73,0.365
74,0.37
75,0.375
76,0.38
77,0.385
78,0.39
79,0.395
80,0.4
81,0.405
82,0.41
83,0.415
84,0.42
85,0.425
86,0.43
87,0.435
88,0.44
89,0.445
90,0.45
91,0.455
92,0.46
93,0.465
94,0.47
95,0.475
96,0.48
97,0.485
98,0.49
99,0.495
100,0.5
101,0.505
102,0.51
103,0.515
104,0.52
105,0.525
106,0.53
107,0.535
108,0.54
109,0.545
110,0.55
111,0.555
112,0.56
113,0.565
114,0.57
115,0.575
116,0.58
117,0.585
118,0.59
119,0.595
120,0.6
121,0.605
122,0.61
123,0.615
124,0.62
125,0.625
126,0.63
127,0.635
128,0.64
129,0.645
130,0.65
131,0.655
132,0.66
133,0.665
134,0.67
135,0.675
136,0.68
137,0.685
138,0.69
139,0.695
140,0.7
141,0.705
142,0.71
143,0.715
144,0.72
145,0.725
146,0.73
147,0.735
148,0.74
149,0.745
150,0.75
151,0.755
152,0.76
153,0.765
154,0.77
155,0.775
156,0.78
157,0.785
158,0.79
159,0.795
160,0.8
161,0.805
162,0.81
163,0.815
164,0.82
165,0.825
166,0.83
167,0.835
168,0.84
169,0.845
170,0.85
171,0.855
172,0.86
173,0.865
174,0.87
175,0.875
176,0.88
177,0.885
178,0.89
179,0.895
180,0.9
181,0.905
182,0.91
183,0.915
184,0.92
185,0.925
186,0.93
187,0.935
188,0.94
189,0.945
190,0.95
191,0.955
192,0.96
193,0.965
194,0.97
195,0.975
196,0.98
197,0.985
198,0.99
199,0.995
200,1.0
201,1.005
202,1.01
203,1.015
204,1.02
205,1.025
206,1.03
207,1.035
208,1.04
209,1.045
210,1.05
211,1.055
212,1.06
213,1.065
214,1.07
215,1.075
216,1.08
217,1.085
218,1.09
219,1.095
220,1.1
221,1.105
222,1.11
223,1.115
224,1.12
225,1.125
226,1.13
227,1.135
228,1.14
229,1.145
230,1.15
231,1.155
232,1.16
233,1.165
234,1.17
235,1.175
236,1.18
237,1.185
238,1.19
239,1.195
240,1.2
241,1.205
242,1.21
243,1.215
244,1.22
245,1.225
246,1.23
247,1.235
248,1.24
249,1.245
250,1.25
251,1.255
252,1.26
253,1.265
254,1.27
255,1.275
256,1.28
257,1.285
258,1.29
259,1.295
260,1.3
261,1.305
262,1.31
263,1.315
264,1.32
265,1.325
266,1.33
267,1.335
268,1.34
269,1.345
270,1.35
271,1.355
272,1.36
273,1.365
274,1.37
275,1.375
276,1.38
277,1.385
278,1.39
279,1.395
280,1.4
281,1.405
282,1.41
283,1.415
284,1.42
285,1.425
286,1.43
287,1.435
288,1.44
289,1.445
290,1.45
291,1.455
292,1.46
293,1.465
294,1.47
295,1.475
296,1.48
297,1.485
298,1.49
299,1.495
300,1.5
301,1.505
302,1.51
303,1.515
304,1.52
305,1.525
306,1.53
307,1.535
308,1.54
309,1.545
310,1.55
311,1.555
312,1.56
313,1.565
314,1.57
315,1.575
316,1.58
317,1.585
318,1.59
319,1.595
320,1.6
321,1.605
322,1.61
323,1.615
324,1.62
325,1.625
326,1.63
327,1.635
328,1.64
329,1.645
330,1.65
331,1.655
332,1.66
333,1.665
334,1.67
335,1.675
336,1.68
337,1.685
338,1.69
339,1.695
340,1.7
341,1.705
342,1.71
343,1.715
344,1.72
345,1.725
346,1.73
347,1.735
348,1.74
349,1.745
350,1.75
351,1.755
352,1.76
353,1.765
354,1.77
355,1.775
356,1.78
357,1.785
358,1.79
359,1.795
360,1.8
361,1.805
362,1.81
363,1.815
364,1.82
365,1.825
366,1.83
367,1.835
368,1.84
369,1.845
370,1.85
371,1.855
372,1.86
373,1.865
374,1.87
375,1.875
376,1.88
377,1.885
378,1.89
379,1.895
380,1.9
381,1.905
382,1.91
383,1.915
384,1.92
385,1.925
386,1.93
387,1.935
388,1.94
389,1.945
390,1.95
391,1.955
392,1.96
393,1.965
394,1.97
395,1.975
396,1.98
397,1.985
398,1.99
399,1.995
400,2.0
401,2.005
402,2.01
403,2.015
404,2.02
405,2.025
406,2.03
407,2.035
408,2.04
409,2.045
410,2.05
411,2.055
412,2.06
413,2.065
414,2.07
415,2.075
416,2.08
417,2.085
418,2.09
419,2.095
420,2.1
421,2.105
422,2.11
423,2.115
424,2.12
425,2.125
426,2.13
427,2.135
428,2.14
429,2.145
430,2.15
431,2.155
432,2.16
433,2.165
434,2.17
435,2.175
436,2.18
437,2.185
438,2.19
439,2.195
440,2.2
441,2.205
442,2.21
443,2.215
444,2.22
445,2.225
446,2.23
447,2.235
448,2.24
449,2.245
450,2.25
451,2.255
452,2.26
453,2.265
454,2.27
455,2.275
456,2.28
457,2.285
458,2.29
459,2.295
460,2.3
461,2.305
462,2.31
463,2.315
464,2.32
465,2.325
466,2.33
467,2.335
468,2.34
469,2.345
470,2.35
471,2.355
472,2.36
473,2.365
474,2.37
475,2.375
476,2.38
477,2.385
478,2.39
479,2.395
480,2.4
481,2.405
482,2.41
483,2.415
484,2.42
485,2.425
486,2.43
487,2.435
488,2.44
489,2.445
490,2.45
491,2.455
492,2.46
493,2.465
494,2.47
495,2.475
496,2.48
497,2.485
498,2.49
499,2.495
500,2.5
501,2.505
502,2.51
503,2.515
504,2.52
505,2.525
506,2.53
507,2.535
508,2.54
509,2.545
510,2.55
511,2.555
512,2.56
513,2.565
514,2.57
515,2.575
516,2.58
517,2.585
518,2.59
519,2.595
520,2.6
521,2.605
522,2.61
523,2.615
524,2.62
525,2.625
526,2.63
527,2.635
528,2.64
529,2.645
530,2.65
531,2.655
532,2.66
533,2.665
534,2.67
535,2.675
536,2.68
537,2.685
538,2.69
539,2.695
540,2.7
541,2.705
542,2.71
543,2.715
544,2.72
545,2.725
546,2.73
547,2.735
548,2.74
549,2.745
550,2.75
551,2.755
552,2.76
553,2.765
554,2.77
555,2.775
556,2.78
557,2.785
558,2.79
559,2.795
560,2.8
561,2.805
562,2.81
563,2.815
564,2.82
565,2.825
566,2.83
567,2.835
568,2.84
569,2.845
570,2.85
571,2.855
572,2.86
573,2.865
574,2.87
575,2.875
576,2.88
577,2.885
578,2.89
579,2.895
580,2.9
581,2.905
582,2.91
583,2.915
584,2.92
585,2.925
586,2.93
587,2.935
588,2.94
589,2.945
590,2.95
591,2.955
592,2.96
593,2.965
594,2.97
595,2.975
596,2.98
597,2.985
598,2.99
599,2.995
600,3.0
601,3.005
602,3.01
603,3.015
604,3.02
605,3.025
606,3.03
607,3.035
608,3.04
609,3.045
610,3.05
611,3.055
612,3.06
613,3.065
614,3.07
615,3.075
616,3.08
617,3.085
618,3.09
619,3.095
620,3.1
621,3.105
622,3.11
623,3.115
624,3.12
625,3.125
626,3.13
627,3.135
628,3.14
629,3.145
630,3.15
631,3.155
632,3.16
633,3.165
634,3.17
635,3.175
636,3.18
637,3.185
638,3.19
639,3.195
640,3.2
641,3.205
642,3.21
643,3.215
644,3.22
645,3.225
646,3.23
647,3.235
648,3.24
649,3.245
650,3.25
651,3.255
652,3.26
653,3.265
654,3.27
655,3.275
656,3.28
657,3.285
658,3.29
659,3.295
660,3.3
661,3.305
662,3.31
663,3.315
664,3.32
665,3.325
666,3.33
667,3.335
668,3.34
669,3.345
670,3.35
671,3.355
672,3.36
673,3.365
674,3.37
675,3.375
676,3.38
677,3.385
678,3.39
679,3.395
680,3.4
681,3.405
682,3.41
683,3.415
684,3.42
685,3.425
686,3.43
687,3.435
688,3.44
689,3.445
690,3.45
691,3.455
692,3.46
693,3.465
694,3.47
695,3.475
696,3.48
697,3.485
698,3.49
699,3.495
700,3.5
701,3.505
702,3.51
703,3.515
704,3.52
705,3.525
706,3.53
707,3.535
708,3.54
709,3.545
710,3.55
711,3.555
712,3.56
713,3.565
714,3.57
715,3.575
716,3.58
717,3.585
718,3.59
719,3.595
720,3.6
721,3.605
722,3.61
723,3.615
724,3.62
725,3.625
726,3.63
727,3.635
728,3.64
729,3.645
730,3.65
731,3.655
732,3.66
733,3.665
734,3.67
735,3.675
736,3.68
737,3.685
738,3.69
739,3.695
740,3.7
741,3.705
742,3.71
743,3.715
744,3.72
745,3.725
746,3.73
747,3.735
748,3.74
749,3.745
750,3.75
751,3.755
752,3.76
753,3.765
754,3.77
755,3.775
756,3.78
757,3.785
758,3.79
759,3.795
760,3.8
761,3.805
762,3.81
763,3.815
764,3.82
765,3.825
766,3.83
767,3.835
768,3.84
769,3.845
770,3.85
771,3.855
772,3.86
773,3.865
774,3.87
775,3.875
776,3.88
777,3.885
778,3.89
779,3.895
780,3.9
781,3.905
782,3.91
783,3.915
784,3.92
785,3.925
786,3.93
787,3.935
788,3.94
789,3.945
790,3.95
791,3.955
792,3.96
793,3.965
794,3.97
795,3.975
796,3.98
797,3.985
798,3.99
799,3.995
800,4.0
801,4.005
802,4.01
803,4.015
804,4.02
805,4.025
806,4.03
807,4.035
808,4.04
809,4.045
810,4.05
811,4.055
812,4.06
813,4.065
814,4.07
815,4.075
816,4.08
817,4.085
818,4.09
819,4.095
820,4.1
821,4.105
822,4.11
823,4.115
824,4.12
825,4.125
826,4.13
827,4.135
828,4.14
829,4.145
830,4.15
831,4.155
832,4.16
833,4.165
834,4.17
835,4.175
836,4.18
837,4.185
838,4.19
839,4.195
840,4.2
841,4.205
842,4.21
843,4.215
844,4.22
845,4.225
846,4.23
847,4.235
848,4.24
849,4.245
850,4.25
851,4.255
852,4.26
853,4.265
854,4.27
855,4.275
856,4.28
857,4.285
858,4.29
859,4.295
860,4.3
861,4.305
862,4.31
863,4.315
864,4.32
865,4.325
866,4.33
867,4.335
868,4.34
869,4.345
870,4.35
871,4.355
872,4.36
873,4.365
874,4.37
875,4.375
876,4.38
877,4.385
878,4.39
879,4.395
880,4.4
881,4.405
882,4.41
883,4.415
884,4.42
885,4.425
886,4.43
887,4.435
888,4.44
889,4.445
890,4.45
891,4.455
892,4.46
893,4.465
894,4.47
895,4.475
896,4.48
897,4.485
898,4.49
899,4.495
900,4.5
901,4.505
902,4.51
903,4.515
904,4.52
905,4.525
906,4.53
907,4.535
908,4.54
909,4.545
910,4.55
911,4.555
912,4.56
913,4.565
914,4.57
915,4.575
916,4.58
917,4.585
918,4.59
919,4.595
920,4.6
921,4.605
922,4.61
923,4.615
924,4.62
925,4.625
926,4.63
927,4.635
928,4.64
929,4.645
930,4.65
931,4.655
932,4.66
933,4.665
934,4.67
935,4.675
936,4.68
937,4.685
938,4.69
939,4.695
940,4.7
941,4.705
942,4.71
943,4.715
944,4.72
945,4.725
946,4.73
947,4.735
948,4.74
949,4.745
950,4.75
951,4.755
952,4.76
953,4.765
954,4.77
955,4.775
956,4.78
957,4.785
958,4.79
959,4.795
960,4.8
961,4.805
962,4.81
963,4.815
964,4.82
965,4.825
966,4.83
967,4.835
968,4.84
969,4.845
970,4.85
971,4.855
972,4.86
973,4.865
974,4.87
975,4.875
976,4.88
977,4.885
978,4.89
979,4.895
980,4.9
981,4.905
982,4.91
983,4.915
984,4.92
985,4.925
986,4.93
987,4.935
988,4.94
989,4.945
990,4.95
991,4.955
992,4.96
993,4.965
994,4.97
995,4.975
996,4.98
997,4.985
998,4.99
999,4.995
1000,5.0
1001,5.005
1002,5.01
1003,5.015
1004,5.02
1005,5.025
1006,5.03
1007,5.035
1008,5.04
1009,5.045
1010,5.05
1011,5.055
1012,5.06
1013,5.065
1014,5.07
1015,5.075
1016,5.08
1017,5.085
1018,5.09
1019,5.095
1020,5.1
1021,5.105
1022,5.11
1023,5.115
1024,5.12
1025,5.125
1026,5.13
1027,5.135
1028,5.14
1029,5.145
1030,5.15
1031,5.155
1032,5.16
1033,5.165
1034,5.17
1035,5.175
1036,5.18
1037,5.185
1038,5.19
1039,5.195
1040,5.2
1041,5.205
1042,5.21
1043,5.215
1044,5.22
1045,5.225
1046,5.23
1047,5.235
1048,5.24
1049,5.245
1050,5.25
1051,5.255
1052,5.26
1053,5.265
1054,5.27
1055,5.275
1056,5.28
1057,5.285
1058,5.29
1059,5.295
1060,5.3
1061,5.305
1062,5.31
1063,5.315
1064,5.32
1065,5.325
1066,5.33
1067,5.335
1068,5.34
1069,5.345
1070,5.35
1071,5.355
1072,5.36
1073,5.365
1074,5.37
1075,5.375
1076,5.38
1077,5.385
1078,5.39
1079,5.395
1080,5.4
1081,5.405
1082,5.41
1083,5.415
1084,5.42
1085,5.425
1086,5.43
1087,5.435
1088,5.44
1089,5.445
1090,5.45
1091,5.455
1092,5.46
1093,5.465
1094,5.47
1095,5.475
1096,5.48
1097,5.485
1098,5.49
1099,5.495
1100,5.5
1101,5.505
1102,5.51
1103,5.515
1104,5.52
1105,5.525
1106,5.53
1107,5.535
1108,5.54
1109,5.545
1110,5.55
1111,5.555
1112,5.56
1113,5.565
1114,5.57
1115,5.575
1116,5.58
1117,5.585
1118,5.59
1119,5.595
1120,5.6
1121,5.605
1122,5.61
1123,5.615
1124,5.62
1125,5.625
1126,5.63
1127,5.635
1128,5.64
1129,5.645
1130,5.65
1131,5.655
1132,5.66
1133,5.665
1134,5.67
1135,5.675
1136,5.68
1137,5.685
1138,5.69
1139,5.695
1140,5.7
1141,5.705
1142,5.71
1143,5.715
1144,5.72
1145,5.725
1146,5.73
1147,5.735
1148,5.74
1149,5.745
1150,5.75
1151,5.755
1152,5.76
1153,5.765
1154,5.77
1155,5.775
1156,5.78
1157,5.785
1158,5.79
1159,5.795
1160,5.8
1161,5.805
1162,5.81
1163,5.815
1164,5.82
1165,5.825
1166,5.83
1167,5.835
1168,5.84
1169,5.845
1170,5.85
1171,5.855
1172,5.86
1173,5.865
1174,5.87
1175,5.875
1176,5.88
1177,5.885
1178,5.89
1179,5.895
1180,5.9
1181,5.905
1182,5.91
1183,5.915
1184,5.92
1185,5.925
1186,5.93
1187,5.935
1188,5.94
1189,5.945
1190,5.95
1191,5.955
1192,5.96
1193,5.965
1194,5.97
1195,5.975
1196,5.98
