file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_TEMPO_0_0,1314.4628,16.4798,145.108,8.1215,0.215532,0.08836,0,0.0,0.0,5.095001,0.017737,0.220811,0.027601
FAPI_TEMPO_0_1,772.9339,12.6371,116.1731,7.2668,0.280317,0.0908,0,0.0,0.0,5.338107,0.023211,0.361711,0.045214
FAPI_TEMPO_0_2,1458.4711,17.3591,155.7241,8.4133,0.244218,0.082159,0,0.0,0.0,5.134423,0.016853,0.298007,0.037251
FAPI_TEMPO_0_3,2937.1901,24.6345,224.9553,10.112,0.270627,0.065857,0,0.0,0.0,5.362406,0.011924,0.210279,0.026285
FAPI_TEMPO_0_4,1270.2479,16.2002,150.0679,8.2591,0.291201,0.078541,0,0.0,0.0,5.352176,0.01812,0.256586,0.032073
FAPI_TEMPO_0_5,1408.6777,17.0602,148.4246,8.2138,0.196456,0.089466,0,0.0,0.0,5.147569,0.017158,0.247244,0.030905
FAPI_TEMPO_0_6,1315.7025,16.4876,145.3018,8.1269,0.216885,0.088149,0,0.0,0.0,5.341765,0.017824,0.182012,0.022752
FAPI_TEMPO_0_7,1817.1488,19.3764,170.186,8.7953,0.211589,0.081923,0,0.0,0.0,5.077579,0.015049,0.222537,0.027817
FAPI_TEMPO_0_8,2000.6198,20.331,179.2612,9.0268,0.217649,0.079191,0,0.0,0.0,5.259239,0.014437,0.140648,0.017581
FAPI_TEMPO_0_9,301.4463,7.8919,66.1085,5.4817,0.133226,0.145526,0,0.0,0.0,5.073014,0.036954,0.241069,0.030134
FAPI_TEMPO_0_10,327.686,8.2282,72.2058,5.7289,0.210189,0.12689,0,0.0,0.0,4.911714,0.035444,0.380851,0.047606
FAPI_TEMPO_0_11,413.0165,9.2376,77.6793,5.9421,0.139865,0.132992,0,0.0,0.0,5.296329,0.031755,0.452378,0.056547
