file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI_0_0,782.8512,12.7179,107.0822,6.9767,0.142064,0.112659,0,0.0,0.0,5.046598,0.022927,0.214585,0.026823
FAPI_0_1,2831.6116,24.1877,221.2432,10.0282,0.273052,0.066192,1,20.6612,0.0,5.548226,0.012153,0.274883,0.03436
FAPI_0_2,9850.4132,45.1133,383.4634,13.2023,0.158185,0.058094,1,23.3471,0.0,5.471442,0.006518,0.410089,0.051261
FAPI_0_3,2252.4793,21.5729,202.4029,9.5917,0.309065,0.065819,0,0.0,0.0,5.450258,0.013596,0.445897,0.055737
FAPI_0_4,6325.8264,36.1523,305.2972,11.7801,0.147133,0.065997,0,0.0,0.0,5.137914,0.008087,0.555876,0.069484
FAPI_0_5,755.9917,12.4979,109.8283,7.0655,0.212414,0.102168,0,0.0,0.0,5.185438,0.023315,0.190938,0.023867
FAPI_0_6,2923.3471,24.5764,228.6452,10.1946,0.297306,0.06294,0,0.0,0.0,5.205938,0.011899,0.51245,0.064056
FAPI_0_7,9924.1736,45.2819,392.3069,13.3537,0.189688,0.055288,2,41.1157,5.6978,5.547065,0.00649,0.404977,0.050622
FAPI_0_8,2782.6446,23.9776,210.6461,9.7851,0.211937,0.07353,0,0.0,0.0,5.264831,0.012212,0.317695,0.039712
FAPI_0_9,4215.9091,29.5137,254.9285,10.7646,0.1848,0.069081,0,0.0,0.0,5.556021,0.009975,0.224387,0.028048
FAPI_0_10,2416.9421,22.3465,196.0739,9.4406,0.209982,0.076425,0,0.0,0.0,5.164667,0.01309,0.510295,0.063787
FAPI_0_11,4640.9091,30.9656,281.6419,11.3146,0.264778,0.059276,0,0.0,0.0,5.479043,0.009485,0.358292,0.044787
FAPI_0_12,9756.6116,44.898,388.0813,13.2816,0.185927,0.055847,0,0.0,0.0,5.539915,0.006556,0.475171,0.059396
FAPI_0_13,656.8182,11.6493,102.8219,6.8365,0.219301,0.104734,0,0.0,0.0,5.145412,0.025082,0.544912,0.068114
FAPI_0_14,4455.5785,30.341,270.9802,11.0983,0.237502,0.062674,0,0.0,0.0,5.267342,0.009653,0.398533,0.049817
FAPI_0_15,5408.4711,33.4283,294.5519,11.571,0.216641,0.061736,0,0.0,0.0,5.351023,0.00877,0.326933,0.040867
FAPI_0_16,2197.1074,21.3061,186.9908,9.2193,0.210375,0.078238,0,0.0,0.0,5.410099,0.013774,0.229504,0.028688
FAPI_0_17,4874.5868,31.7356,281.8514,11.3188,0.228906,0.062135,0,0.0,0.0,5.221588,0.00921,0.274872,0.034359
FAPI_0_18,3885.7438,28.3344,251.9617,10.7018,0.230843,0.065578,0,0.0,0.0,5.575276,0.010383,0.326371,0.040796
FAPI_0_19,984.5041,14.2622,134.0162,7.8049,0.311168,0.080851,0,0.0,0.0,5.290121,0.020508,0.305801,0.038225
FAPI_0_20,6232.6446,35.885,333.2852,12.3083,0.294901,0.052237,2,54.3388,9.7885,5.572825,0.008205,0.325773,0.040722
FAPI_0_21,6582.438,36.8783,347.922,12.5756,0.316666,0.049546,0,0.0,0.0,5.194955,0.007925,0.308406,0.038551
FAPI_0_22,3441.7355,26.6665,239.2044,10.4273,0.244127,0.066159,0,0.0,0.0,5.467389,0.011006,0.214767,0.026846
FAPI_0_23,9707.0248,44.7837,410.2382,13.6555,0.27519,0.048369,0,0.0,0.0,5.264738,0.006537,0.388584,0.048573
FAPI_0_24,4506.8182,30.5149,292.3304,11.5272,0.337277,0.052458,3,95.6612,11.792,5.570786,0.009648,0.332454,0.041557
FAPI_0_25,1617.562,18.2813,164.9253,8.6583,0.252697,0.078917,0,0.0,0.0,4.385143,0.015732,0.268785,0.033598
FAPI_0_26,9055.7851,43.2554,390.8621,13.3291,0.255115,0.050928,1,56.405,0.0,5.171275,0.006752,0.472315,0.059039
FAPI_0_27,1378.0992,16.874,152.7873,8.3336,0.25815,0.081435,0,0.0,0.0,5.648409,0.017456,0.363616,0.045452
FAPI_0_28,1503.719,17.6263,150.7107,8.2768,0.168067,0.091896,0,0.0,0.0,4.927033,0.016515,0.537704,0.067213
FAPI_0_29,2080.1653,20.7313,190.4066,9.3031,0.278986,0.070822,1,43.595,0.0,5.646352,0.014212,0.290393,0.036299
FAPI_0_30,5546.9008,33.8534,315.324,11.972,0.298954,0.053405,2,70.4545,13.587,5.537692,0.008696,0.231716,0.028964
FAPI_0_31,7791.9421,40.1236,364.0573,12.8639,0.261218,0.052348,0,0.0,0.0,5.150979,0.007283,0.235078,0.029385
FAPI_0_32,2690.4959,23.5773,216.1306,9.9117,0.276215,0.066687,0,0.0,0.0,5.166896,0.012378,0.230991,0.028874
FAPI_0_33,3059.9174,25.1439,243.2741,10.5157,0.350278,0.056422,1,21.281,0.0,5.574362,0.011704,0.315617,0.039452
FAPI_0_34,2948.3471,24.6812,214.7693,9.8804,0.196762,0.074211,2,81.8182,20.7457,5.564991,0.011924,0.591762,0.07397
FAPI_0_35,5933.2645,35.0126,327.2146,12.1957,0.303633,0.052071,0,0.0,0.0,5.194606,0.008354,0.323347,0.040418
FAPI_0_36,5201.0331,32.781,295.5713,11.591,0.251874,0.058865,0,0.0,0.0,5.315335,0.008932,0.504216,0.063027
FAPI_0_37,4502.4793,30.5002,273.6885,11.1536,0.24465,0.061778,1,67.7686,0.0,5.182455,0.009582,0.63351,0.079189
FAPI_0_38,1041.5289,14.6694,123.0046,7.4774,0.134956,0.105874,0,0.0,0.0,5.320958,0.019962,0.651952,0.081494
FAPI_0_39,3949.5868,28.5662,274.7915,11.1761,0.342713,0.053676,0,0.0,0.0,5.488055,0.010298,0.51679,0.064599
FAPI_0_40,5736.3636,34.4267,346.3623,12.5474,0.399123,0.043684,5,138.0165,14.8391,5.589027,0.008548,0.240889,0.030111
FAPI_0_41,6826.8595,37.5567,365.6359,12.8918,0.358298,0.045388,2,122.5207,1.6071,5.507308,0.007819,0.398843,0.049855
FAPI_0_42,6341.5289,36.1971,350.2571,12.6178,0.350424,0.046948,0,0.0,0.0,5.420238,0.008108,0.785877,0.098235
FAPI_0_43,1107.8512,15.1293,151.2621,8.2919,0.391542,0.067225,0,0.0,0.0,5.572559,0.019461,0.579168,0.072396
FAPI_0_44,4732.6446,31.2701,352.9008,12.6653,0.522461,0.034422,1,62.6033,0.0,5.462112,0.009393,0.51422,0.064277
FAPI_0_45,1078.9256,14.9305,128.7176,7.6491,0.181676,0.097915,0,0.0,0.0,5.528497,0.019721,0.641064,0.080133
