t_ms,X_area_frac,X_JMAK,k_fit,n_fit
0.0,2.6211702840580034e-05,0.0,0.00192721463763989,3.25
1.0,0.00019995935888450278,1.4997635355840089e-09,0.00192721463763989,3.25
2.0,0.00039012715949845404,1.4268235370984428e-08,0.00192721463763989,3.25
3.0,0.0005894983022182996,5.329259211706017e-08,0.00192721463763989,3.25
4.0,0.0008010232505789448,1.3574308665997847e-07,0.00192721463763989,3.25
5.0,0.0010207431989963938,2.8033364973811814e-07,0.00192721463763989,3.25
6.0,0.001244577965532272,5.07007322569919e-07,0.00192721463763989,3.25
7.0,0.001473075740102799,8.367413404375412e-07,0.00192721463763989,3.25
8.0,0.0017053034419838675,1.2914124096763402e-06,0.00192721463763989,3.25
9.0,0.0019399933071321488,1.8936971368788136e-06,0.00192721463763989,3.25
10.0,0.0021800830226241736,2.6669949845237184e-06,0.00192721463763989,3.25
11.0,0.002461152479664012,3.6353666221788927e-06,0.00192721463763989,3.25
12.0,0.0026707868615446595,4.823483312321741e-06,0.00192721463763989,3.25
13.0,0.0029233550843886067,6.2565845010409404e-06,0.00192721463763989,3.25
14.0,0.0031905791027568423,7.960441689269793e-06,0.00192721463763989,3.25
15.0,0.0034382786964395166,9.961327230523231e-06,0.00192721463763989,3.25
16.0,0.0036999721053980377,1.2285987067928161e-05,0.00192721463763989,3.25
17.0,0.003985942116109041,1.4961616675135403e-05,0.00192721463763989,3.25
18.0,0.004239888200133538,1.8015839642449016e-05,0.00192721463763989,3.25
19.0,0.004502279290225419,2.1476688471300243e-05,0.00192721463763989,3.25
20.0,0.004775450849773223,2.537258723545044e-05,0.00192721463763989,3.25
21.0,0.005051810435128438,2.9732335833365653e-05,0.00192721463763989,3.25
22.0,0.00533270127129155,3.458509560916312e-05,0.00192721463763989,3.25
23.0,0.005602168156997285,3.99603761600531e-05,0.00192721463763989,3.25
24.0,0.005918631248434262,4.588802317828655e-05,0.00192721463763989,3.25
25.0,0.006192849179958001,5.2398207202375424e-05,0.00192721463763989,3.25
26.0,0.0064864374201384035,5.952141317044912e-05,0.00192721463763989,3.25
