t_ms,X_area_frac,X_JMAK,k_fit,n_fit
0.0,2.7506355723897066e-05,0.0,0.0018736833917701427,2.5
1.0,0.0003444478518511477,1.5196391900396122e-07,0.0018736833917701427,2.5
2.0,0.0006777995227549751,8.59637436900762e-07,0.0018736833917701427,2.5
3.0,0.001021365610578657,2.3688804321464474e-06,0.0018736833917701427,2.5
4.0,0.0013796037055938079,4.862833954510926e-06,0.0018736833917701427,2.5
5.0,0.0017247671778817019,8.495005889064267e-06,0.0018736833917701427,2.5
6.0,0.0020878318905176835,1.3400337425695241e-05,0.0018736833917701427,2.5
7.0,0.0024592510897198695,1.970068559686844e-05,0.0018736833917701427,2.5
8.0,0.002839840049566066,2.7508031451684012e-05,0.0018736833917701427,2.5
9.0,0.0032567554439174615,3.692655332554473e-05,0.0018736833917701427,2.5
10.0,0.003633652992301336,4.8054059644697666e-05,0.0018736833917701427,2.5
11.0,0.004011693712632314,6.09830285214219e-05,0.0018736833917701427,2.5
12.0,0.004432022040979407,7.58013905429733e-05,0.0018736833917701427,2.5
13.0,0.00482276250427225,9.25931356723364e-05,0.0018736833917701427,2.5
14.0,0.005244644649096924,0.00011143879504793563,0.0018736833917701427,2.5
15.0,0.005640266027426756,0.00013241583101875065,0.0018736833917701427,2.5
16.0,0.006087022696450003,0.00015559895812577995,0.0018736833917701427,2.5
17.0,0.006475188779435694,0.00018106041098009396,0.0018736833917701427,2.5
18.0,0.006897211869948387,0.0002088701705411644,0.0018736833917701427,2.5
19.0,0.007322913691688472,0.000239096157277352,0.0018736833917701427,2.5
20.0,0.007751427599370125,0.00027180439758878183,0.0018736833917701427,2.5
21.0,0.008202010968208131,0.0003070591683731472,0.0018736833917701427,2.5
22.0,0.008612731580105538,0.00034492312352518706,0.0018736833917701427,2.5
23.0,0.009085847726375362,0.00038545740535589346,0.0018736833917701427,2.5
24.0,0.009517737502750635,0.00042872174331010093,0.0018736833917701427,2.5
25.0,0.009963031262826556,0.00047477454189992496,0.0018736833917701427,2.5
26.0,0.01038976603601031,0.0005236729594144673,0.0018736833917701427,2.5
27.0,0.010868559025908262,0.0005754729786868751,0.0018736833917701427,2.5
28.0,0.011260751863799457,0.0006302294709814582,0.0018736833917701427,2.5
29.0,0.0117324322173166,0.0006879962538838269,0.0018736833917701427,2.5
30.0,0.01222064467094595,0.0007488261439416721,0.0018736833917701427,2.5
31.0,0.012703224661769362,0.0008127710046825776,0.0018736833917701427,2.5
32.0,0.01312361297738158,0.0008798817905465439,0.0018736833917701427,2.5
33.0,0.013634951810648359,0.0009502085871910815,0.0018736833917701427,2.5
34.0,0.014056372032629954,0.0010238006485633333,0.0018736833917701427,2.5
35.0,0.014536740297864588,0.0011007064310794012,0.0018736833917701427,2.5
36.0,0.015000514362349362,0.0011809736252081926,0.0018736833917701427,2.5
37.0,0.015472150497611447,0.001264649184717137,0.0018736833917701427,2.5
38.0,0.015991221765993886,0.0013517793538063705,0.0018736833917701427,2.5
39.0,0.016435361624693143,0.0014424096923293384,0.0018736833917701427,2.5
40.0,0.016940695321656606,0.0015365850992766772,0.0018736833917701427,2.5
41.0,0.017393527318818304,0.0016343498346772511,0.0018736833917701427,2.5
42.0,0.017850173660694073,0.0017357475400548994,0.0018736833917701427,2.5
43.0,0.018398941844150956,0.001840821257563574,0.0018736833917701427,2.5
44.0,0.018931689883851674,0.0019496134479108918,0.0018736833917701427,2.5
45.0,0.019367976125263562,0.0020621660071675763,0.0018736833917701427,2.5
46.0,0.019908655001630866,0.0021785202825522765,0.0018736833917701427,2.5
47.0,0.020360965320923102,0.0022987170872710294,0.0018736833917701427,2.5
48.0,0.020917708591815062,0.0024227967144819784,0.0018736833917701427,2.5
49.0,0.021350191738157182,0.002550798950451627,0.0018736833917701427,2.5
50.0,0.021858268186187996,0.0026827630869619146,0.0018736833917701427,2.5
51.0,0.022376856386390566,0.002818727933019294,0.0018736833917701427,2.5
52.0,0.022887071973793655,0.002958731825917771,0.0018736833917701427,2.5
53.0,0.02340126232713914,0.00310281264169765,0.0018736833917701427,2.5
54.0,0.02396203693732921,0.003251007805041839,0.0018736833917701427,2.5
55.0,0.02445242193787283,0.003403354298647354,0.0018736833917701427,2.5
56.0,0.024951950883402695,0.0035598886721046608,0.0018736833917701427,2.5
57.0,0.02550124675971228,0.00372064705031816,0.0018736833917701427,2.5
58.0,0.026020274460108135,0.0038856651414946874,0.0018736833917701427,2.5
59.0,0.02655934349937027,0.0040549782447276694,0.0018736833917701427,2.5
60.0,0.027061173809995717,0.0042286212572022475,0.0018736833917701427,2.5
61.0,0.02758972631761297,0.004406628681041913,0.0018736833917701427,2.5
62.0,0.028112127610762844,0.004589034629819633,0.0018736833917701427,2.5
63.0,0.028656912444733708,0.004775872834751671,0.0018736833917701427,2.5
64.0,0.029221248250127608,0.004967176650593097,0.0018736833917701427,2.5
65.0,0.029810108605236592,0.005162979061251072,0.0018736833917701427,2.5
66.0,0.030318014926782395,0.0053633126851313495,0.0018736833917701427,2.5
67.0,0.03087152924901015,0.005568209780233535,0.0018736833917701427,2.5
68.0,0.03140680612584099,0.0057777022490076435,0.0018736833917701427,2.5
69.0,0.03194027472801872,0.005991821642984951,0.0018736833917701427,2.5
70.0,0.03246717900017844,0.006210599167194797,0.0018736833917701427,2.5
71.0,0.033061579805106725,0.00643406568437932,0.0018736833917701427,2.5
72.0,0.033588937932135916,0.006662251719014578,0.0018736833917701427,2.5
73.0,0.03418107277908615,0.006895187461150032,0.0018736833917701427,2.5
74.0,0.034706082396556606,0.0071329027700732794,0.0018736833917701427,2.5
75.0,0.03525254053383399,0.0073754271778104785,0.0018736833917701427,2.5
76.0,0.03580359692838448,0.007622789892469561,0.0018736833917701427,2.5
77.0,0.03641738153929468,0.007875019801433236,0.0018736833917701427,2.5
78.0,0.03694384392152457,0.008132145474410324,0.0018736833917701427,2.5
79.0,0.03752284953945387,0.008394195166351204,0.0018736833917701427,2.5
80.0,0.03813085469205108,0.008661196820233585,0.0018736833917701427,2.5
81.0,0.038671218432067535,0.008933178069725156,0.0018736833917701427,2.5
82.0,0.03922553579519772,0.00921016624172799,0.0018736833917701427,2.5
83.0,0.03977770015430318,0.009492188358811493,0.0018736833917701427,2.5
84.0,0.04037833699889665,0.00977927114153676,0.0018736833917701427,2.5
85.0,0.04097493059034497,0.010071441010678917,0.0018736833917701427,2.5
86.0,0.041588800270303636,0.010368724089351522,0.0018736833917701427,2.5
87.0,0.042151258425528436,0.010671146205036508,0.0018736833917701427,2.5
88.0,0.042719257843408125,0.010978732891525178,0.0018736833917701427,2.5
89.0,0.043299602282806465,0.011291509390772725,0.0018736833917701427,2.5
90.0,0.04382310838206448,0.01160950065467048,0.0018736833917701427,2.5
91.0,0.04446499617902261,0.011932731346740444,0.0018736833917701427,2.5
92.0,0.04506422051279655,0.012261225843752999,0.0018736833917701427,2.5
93.0,0.04567553122381049,0.012595008237273109,0.0018736833917701427,2.5
94.0,0.04630059511268637,0.01293410233513781,0.0018736833917701427,2.5
95.0,0.04687349300285136,0.01327853166286641,0.0018736833917701427,2.5
96.0,0.04749092582881923,0.013628319465007421,0.0018736833917701427,2.5
97.0,0.04807811141751765,0.01398348870642463,0.0018736833917701427,2.5
98.0,0.048714046006753484,0.0143440620735249,0.0018736833917701427,2.5
99.0,0.04931100025334464,0.01471006197542879,0.0018736833917701427,2.5
100.0,0.04990355218248311,0.015081510545088772,0.0018736833917701427,2.5
101.0,0.05057238336524859,0.01545842964035471,0.0018736833917701427,2.5
102.0,0.05115995375030636,0.015840840844990045,0.0018736833917701427,2.5
103.0,0.051696979646077175,0.01622876546964025,0.0018736833917701427,2.5
104.0,0.052354560875662,0.016622224552756526,0.0018736833917701427,2.5
