frame_idx,time_ms,active_tracks
2,4.0,1
3,6.0,2
4,8.0,2
5,10.0,2
6,12.0,2
7,14.0,2
8,16.0,2
9,18.0,1
10,20.0,1
17,34.0,1
18,36.0,3
19,38.0,4
20,40.0,4
21,42.0,4
22,44.0,4
23,46.0,4
24,48.0,4
25,50.0,6
26,52.0,6
27,54.0,8
28,56.0,9
29,58.0,9
30,60.0,9
31,62.0,9
32,64.0,9
33,66.0,9
34,68.0,9
35,70.0,3
39,78.0,2
41,82.0,12
42,84.0,21
43,86.0,21
44,88.0,21
45,90.0,6
46,92.0,20
47,94.0,21
48,96.0,9
49,98.0,4
51,102.0,2
52,104.0,2
67,134.0,1
68,136.0,2
70,140.0,2
71,142.0,1
72,144.0,1
73,146.0,1
74,148.0,2
75,150.0,1
76,152.0,2
77,154.0,2
78,156.0,1
79,158.0,2
81,162.0,1
82,164.0,1
84,168.0,1
111,222.0,1
113,226.0,1
114,228.0,1
115,230.0,1
117,234.0,2
118,236.0,2
119,238.0,1
121,242.0,1
122,244.0,1
123,246.0,1
124,248.0,1
126,252.0,1
128,256.0,1
129,258.0,1
131,262.0,1
132,264.0,1
139,278.0,1
140,280.0,1
141,282.0,1
143,286.0,1
144,288.0,1
146,292.0,1
168,336.0,1
170,340.0,1
171,342.0,1
173,346.0,1
174,348.0,1
176,352.0,1
178,356.0,1
179,358.0,1
180,360.0,1
181,362.0,2
183,366.0,2
184,368.0,2
185,370.0,1
187,374.0,1
188,376.0,1
192,384.0,1
193,386.0,1
195,390.0,1
197,394.0,1
198,396.0,1
200,400.0,1
