dataset,track_id_input,frame_idx,t_ms,det_id,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,R_px,score,R_mono,track_id,r_px,time_ms,x_um,y_um,r_um
FAPI,0,2,4.0,1,4366.0,152.0,4316.0,116.0,100.0,72.0,5968.0,43.585242924008845,1.0,43.585242924008845,0,43.585242924008845,4.0,283.79,9.88,2.833040790060575
FAPI,1,3,6.0,2,4504.0,3389.0,4466.0,3356.0,76.0,66.0,3736.0,34.484862400517734,1.0,34.484862400517734,1,34.484862400517734,6.0,292.76,220.285,2.2415160560336527
FAPI,0,3,6.0,1,4365.0,150.0,4314.0,110.0,102.0,80.0,6736.0,46.304809613408565,1.0,46.304809613408565,0,46.304809613408565,6.0,283.725,9.75,3.009812624871557
FAPI,0,4,8.0,1,4363.0,148.0,4310.0,106.0,106.0,84.0,7344.0,48.34943437242838,1.0,48.34943437242838,0,48.34943437242838,8.0,283.595,9.620000000000001,3.1427132342078448
FAPI,1,4,8.0,2,4502.0,3386.0,4462.0,3352.0,80.0,68.0,4136.0,36.2840142384516,1.0,36.2840142384516,1,36.2840142384516,8.0,292.63,220.09,2.358460925499354
FAPI,0,5,10.0,1,4365.0,148.0,4310.0,102.0,110.0,92.0,8044.0,50.6012324401532,1.0,50.6012324401532,0,50.6012324401532,10.0,283.725,9.620000000000001,3.2890801086099577
FAPI,1,5,10.0,2,4501.0,3387.0,4454.0,3350.0,94.0,74.0,4964.0,39.75034936973935,1.0,39.75034936973935,1,39.75034936973935,10.0,292.565,220.155,2.583772709033058
FAPI,0,6,12.0,2,4366.0,147.0,4310.0,98.0,112.0,98.0,8724.0,52.69663601281765,1.0,52.69663601281765,0,52.69663601281765,12.0,283.79,9.555,3.4252813408331475
FAPI,1,6,12.0,1,4502.0,3386.0,4450.0,3348.0,104.0,76.0,5820.0,43.04141653790755,1.0,43.04141653790755,1,43.04141653790755,12.0,292.63,220.09,2.797692074963991
FAPI,0,7,14.0,1,4366.0,146.0,4308.0,92.0,116.0,108.0,9680.0,55.50891548444353,1.0,55.50891548444353,0,55.50891548444353,14.0,283.79,9.49,3.6080795064888296
