dataset,t_s,N
FAPI-TEMPO,0.04,1.0
FAPI-TEMPO,0.04,2.0
FAPI-TEMPO,0.04,3.0
FAPI-TEMPO,0.04,4.0
FAPI-TEMPO,0.04,5.0
FAPI-TEMPO,0.042,6.0
FAPI-TEMPO,0.044,7.0
FAPI-TEMPO,0.044,8.0
FAPI-TEMPO,0.048,9.0
FAPI-TEMPO,0.07,10.0
FAPI-TEMPO,0.072,11.0
FAPI-TEMPO,0.078,12.0
FAPI-TEMPO,0.082,14.0
FAPI-TEMPO,0.082,13.0
FAPI-TEMPO,0.092,15.0
FAPI-TEMPO,0.106,16.0
FAPI-TEMPO,0.136,17.0
FAPI-TEMPO,0.142,18.0
FAPI-TEMPO,0.146,19.0
FAPI-TEMPO,0.154,20.0
FAPI-TEMPO,0.154,21.0
FAPI-TEMPO,0.22,22.0
FAPI-TEMPO,0.224,23.0
FAPI-TEMPO,0.224,24.0
FAPI-TEMPO,0.246,25.0
FAPI-TEMPO,0.25,26.0
