dataset,t_s,N
FAPI,0.01,2.0
FAPI,0.03,6.0
FAPI,0.05,11.0
FAPI,0.07,13.0
FAPI,0.09,32.0
FAPI,0.11,32.0
FAPI,0.13,34.0
FAPI,0.15,35.0
FAPI,0.17,35.0
FAPI,0.19,35.0
FAPI,0.21,35.0
FAPI,0.23,37.0
FAPI,0.25,38.0
FAPI,0.27,39.0
FAPI,0.29,39.0
FAPI,0.31,39.0
FAPI,0.33,40.0
FAPI,0.35,41.0
FAPI,0.37,42.0
FAPI,0.39,43.0
FAPI-TEMPO,0.04,1.0
FAPI-TEMPO,0.04,2.0
FAPI-TEMPO,0.04,3.0
FAPI-TEMPO,0.04,4.0
FAPI-TEMPO,0.04,5.0
FAPI-TEMPO,0.042,6.0
FAPI-TEMPO,0.044,7.0
FAPI-TEMPO,0.044,8.0
FAPI-TEMPO,0.048,9.0
FAPI-TEMPO,0.07,10.0
FAPI-TEMPO,0.072,11.0
FAPI-TEMPO,0.078,12.0
FAPI-TEMPO,0.082,14.0
FAPI-TEMPO,0.082,13.0
FAPI-TEMPO,0.092,15.0
FAPI-TEMPO,0.106,16.0
FAPI-TEMPO,0.136,17.0
FAPI-TEMPO,0.142,18.0
FAPI-TEMPO,0.146,19.0
FAPI-TEMPO,0.154,20.0
FAPI-TEMPO,0.154,21.0
FAPI-TEMPO,0.22,22.0
FAPI-TEMPO,0.224,23.0
FAPI-TEMPO,0.224,24.0
FAPI-TEMPO,0.246,25.0
FAPI-TEMPO,0.25,26.0
