dataset,t_s,active_count,sum_area_um2,mean_R_um
FAPI,0.0,0,0.0,
FAPI,0.0,17,4308.5874,8.733661291319828
FAPI,0.0,17,3882.065200000001,8.321989237758485
FAPI,0.0,19,4463.1886,8.432728030412292
FAPI,0.0,19,4623.535800000001,8.545476581342253
FAPI,0.0,18,4469.171200000001,8.62559753695977
FAPI,0.0,18,4449.2461,8.612526248080451
FAPI,0.0,15,3541.057,8.455701371545505
FAPI,0.0,20,4797.6396,8.503856463296115
FAPI,0.0,18,4353.8963,8.55432378347722
FAPI,0.0,18,4462.968900000001,8.618777047309822
FAPI,0.0,17,4144.3532000000005,8.53795631786853
FAPI,0.0,20,4697.4395,8.448779919765787
FAPI,0.0,18,4284.4035,8.47822461006199
FAPI,0.0,18,4271.948200000001,8.468155687406224
FAPI,0.0,18,4368.1768,8.528467994383758
FAPI,0.0,17,4144.2011,8.536603438525741
FAPI,0.0,17,3941.2321000000006,8.36930246661907
FAPI,0.0,18,4384.8571,8.547806665601046
FAPI,0.0,17,4009.5419000000006,8.409140497520147
FAPI,0.0,17,4179.741800000001,8.578789813297622
FAPI,0.0,16,3741.1361000000006,8.394351827867743
FAPI,0.0,18,4350.702200000001,8.569767355798703
FAPI,0.0,17,4189.4593,8.645921359785039
FAPI,0.0,18,4441.8608,8.668721287104464
FAPI,0.0,16,4137.373500000001,8.81669951513323
FAPI,0.0,17,4748.6296,9.097653340722834
FAPI,0.0,16,4017.5525,8.739386510700713
FAPI,0.0,15,3793.1881,8.765054169636025
FAPI,0.0,17,4178.863,8.655928634414522
FAPI,0.0,15,3735.373200000001,8.680357279283268
FAPI,0.0,17,4159.7322,8.63010829483176
FAPI,0.0,15,3802.5338000000006,8.776759678227911
FAPI,0.0,19,4425.653700000001,8.403311775551325
FAPI,0.0,17,4052.0285,8.483701066938801
FAPI,0.0,16,3905.657600000001,8.5880982527966
FAPI,0.0,18,4096.137500000001,8.189915167047733
FAPI,0.0,15,3560.9145000000003,8.513926207160017
FAPI,0.0,18,4335.204900000001,8.539509134881573
FAPI,0.0,18,4288.5609,8.482433304884294
FAPI,0.0,16,3917.9439,8.585897397972998
FAPI,0.0,18,4305.0046,8.51770654452246
FAPI,0.0,16,3874.7137,8.53919910165873
FAPI,0.0,17,3897.5963000000006,8.321343487744803
FAPI,0.0,17,4204.8383,8.660493452862308
FAPI,0.0,17,4170.1257000000005,8.624774162006908
FAPI,0.0,18,4383.2685,8.600265751019856
FAPI,0.0,17,4326.3831,8.748675649768757
FAPI,0.0,17,4096.627600000001,8.532552293200808
FAPI,0.0,18,4895.980700000001,8.98043949787115
FAPI,0.0,17,4014.662600000001,8.404335755103043
FAPI,0.0,16,3745.9864,8.395284874141089
FAPI,0.0,12,2696.6654000000003,8.195092345593645
FAPI,0.0,16,3722.934800000001,8.367146780517574
FAPI,0.0,17,3927.9994000000006,8.35027346919395
FAPI,0.0,16,4028.2502,8.69917441310286
FAPI,0.0,19,5230.4148000000005,9.032767229148815
FAPI,0.0,20,6226.4332,9.247581701025169
FAPI,0.0,16,3326.9002000000005,7.919711372562391
FAPI,0.0,16,3512.8847000000005,8.101057451084548
FAPI,0.0,16,3316.844700000001,7.820998220371557
FAPI,0.0,16,3634.6492,8.247128337301968
FAPI,0.0,16,3909.5784,8.372950079291428
FAPI,0.0,15,3569.28,8.33711324865632
FAPI,0.0,17,4051.977800000001,8.33619021148938
FAPI,0.0,17,3791.4812000000006,8.123492599264987
FAPI,0.0,17,3757.292500000001,8.108793893811274
FAPI,0.0,18,4324.3382,8.402267670807493
FAPI,0.0,19,4437.1795,8.274275748967886
FAPI,0.0,17,3975.4884000000006,8.270400241511403
FAPI,0.0,20,5202.9016,8.615470529769809
FAPI,0.0,19,5126.5474,8.739771174125863
FAPI,0.0,21,4834.363300000001,8.115861100171811
FAPI,0.0,12,2708.7827,8.212124984957665
FAPI,0.0,13,3146.9490000000005,8.488652718957894
FAPI,0.0,12,2732.3751,8.260882764658314
FAPI,0.0,13,3155.9736000000003,8.519965896572923
FAPI,0.0,16,3736.961800000001,8.380535029672332
FAPI,0.0,15,3559.2583000000004,8.4468485697799
FAPI,0.0,16,3719.9266,8.372233083020651
FAPI,0.0,15,3562.1144000000004,8.44988328119912
FAPI,0.0,15,3571.2066000000004,8.460098661406347
FAPI,0.0,14,3330.0098000000003,8.436665693114335
FAPI,0.0,17,3894.9768,8.319433376042827
FAPI,0.0,15,3542.510400000001,8.417190284507727
FAPI,0.0,14,3369.9783,8.493919953904323
FAPI,0.0,15,3534.3477000000003,8.413826404196822
FAPI,0.0,17,4005.756300000001,8.393462720890744
FAPI,0.0,15,3542.6794000000004,8.42462254672326
FAPI,0.0,15,3566.8802000000005,8.445856295328106
FAPI,0.0,15,3533.5196000000005,8.409212892921484
FAPI,0.0,15,3534.3646000000003,8.4065565901468
FAPI,0.0,13,3158.6945000000005,8.509515617924881
FAPI,0.0,13,2924.4943000000003,8.222603230664701
FAPI,0.0,13,3145.7998,8.490331943994173
FAPI,0.0,14,3344.7973,8.45132786914176
