dataset,t_s,N,t_align_s,align_ref,t_ref_s
FAPI,0.01,2.0,-0.08,t50,0.09
FAPI,0.03,6.0,-0.06,t50,0.09
FAPI,0.05,11.0,-0.039999999999999994,t50,0.09
FAPI,0.07,13.0,-0.01999999999999999,t50,0.09
FAPI,0.09,32.0,0.0,t50,0.09
FAPI,0.11,32.0,0.020000000000000004,t50,0.09
FAPI,0.13,34.0,0.04000000000000001,t50,0.09
FAPI,0.15,35.0,0.06,t50,0.09
FAPI,0.17,35.0,0.08000000000000002,t50,0.09
FAPI,0.19,35.0,0.1,t50,0.09
FAPI,0.21,35.0,0.12,t50,0.09
FAPI,0.23,37.0,0.14,t50,0.09
FAPI,0.25,38.0,0.16,t50,0.09
FAPI,0.27,39.0,0.18000000000000002,t50,0.09
FAPI,0.29,39.0,0.19999999999999998,t50,0.09
FAPI,0.31,39.0,0.22,t50,0.09
FAPI,0.33,40.0,0.24000000000000002,t50,0.09
FAPI,0.35,41.0,0.26,t50,0.09
FAPI,0.37,42.0,0.28,t50,0.09
FAPI,0.39,43.0,0.30000000000000004,t50,0.09
FAPI-TEMPO,0.04,1.0,-0.042,t50,0.082
FAPI-TEMPO,0.04,2.0,-0.042,t50,0.082
FAPI-TEMPO,0.04,3.0,-0.042,t50,0.082
FAPI-TEMPO,0.04,4.0,-0.042,t50,0.082
FAPI-TEMPO,0.04,5.0,-0.042,t50,0.082
FAPI-TEMPO,0.042,6.0,-0.04,t50,0.082
FAPI-TEMPO,0.044,7.0,-0.038000000000000006,t50,0.082
FAPI-TEMPO,0.044,8.0,-0.038000000000000006,t50,0.082
FAPI-TEMPO,0.048,9.0,-0.034,t50,0.082
FAPI-TEMPO,0.07,10.0,-0.011999999999999997,t50,0.082
FAPI-TEMPO,0.072,11.0,-0.010000000000000009,t50,0.082
FAPI-TEMPO,0.078,12.0,-0.0040000000000000036,t50,0.082
FAPI-TEMPO,0.082,13.0,0.0,t50,0.082
FAPI-TEMPO,0.082,14.0,0.0,t50,0.082
FAPI-TEMPO,0.092,15.0,0.009999999999999995,t50,0.082
FAPI-TEMPO,0.106,16.0,0.023999999999999994,t50,0.082
FAPI-TEMPO,0.136,17.0,0.054000000000000006,t50,0.082
FAPI-TEMPO,0.142,18.0,0.059999999999999984,t50,0.082
FAPI-TEMPO,0.146,19.0,0.06399999999999999,t50,0.082
FAPI-TEMPO,0.154,20.0,0.072,t50,0.082
FAPI-TEMPO,0.154,21.0,0.072,t50,0.082
FAPI-TEMPO,0.22,22.0,0.138,t50,0.082
FAPI-TEMPO,0.224,23.0,0.14200000000000002,t50,0.082
FAPI-TEMPO,0.224,24.0,0.14200000000000002,t50,0.082
FAPI-TEMPO,0.246,25.0,0.16399999999999998,t50,0.082
FAPI-TEMPO,0.25,26.0,0.16799999999999998,t50,0.082
