table,field,detected_column
warnings,track_id,track_id
warnings,tau_ms,tau_ms
warnings,tau_s,
warnings,tau_lower_ms,
warnings,tau_upper_ms,
warnings,r2,fit_r2
warnings,fit_status,fit_status
warnings,qc_pass,tau_qc_pass
warnings,fail_reason,
warnings,fail_reasons,
warnings,n_points_fit,n_points_fit
warnings,n_points_total,n_points_total
warnings,t_start_ms,
warnings,t_end_ms,
warnings,fit_window_ms,
warnings,t0_ms,
warnings,R0_px,
warnings,Rinf_px,
warnings,model_name,
tracks,track_id,track_id
tracks,time_ms,t_ms
tracks,time_s,
tracks,frame_i,frame_idx
tracks,radius_px,R_px
tracks,area_px,area_px
tracks,x,cx
tracks,y,cy
