dataset,t_center_s,count,rate_per_s
FAPI,0.01,2,100.0
FAPI,0.03,4,200.0
FAPI,0.05,5,250.0
FAPI,0.07,2,100.0
FAPI,0.09,19,950.0
FAPI,0.11,0,0.0
FAPI,0.13,2,100.0
FAPI,0.15000000000000002,1,50.0
FAPI,0.16999999999999998,0,0.0
FAPI,0.19,0,0.0
FAPI,0.21000000000000002,0,0.0
FAPI,0.22999999999999998,2,100.0
FAPI,0.25,1,50.0
FAPI,0.27,1,50.0
FAPI,0.29000000000000004,0,0.0
FAPI,0.31,0,0.0
FAPI,0.33,1,50.0
FAPI,0.35,1,50.0
FAPI,0.37,1,50.0
FAPI,0.39,1,50.0
FAPI,0.41000000000000003,0,0.0
FAPI-TEMPO,0.05,9,450.0
FAPI-TEMPO,0.06999999999999999,3,150.0
FAPI-TEMPO,0.09,3,150.0
FAPI-TEMPO,0.10999999999999999,1,50.0
FAPI-TEMPO,0.13,1,50.0
FAPI-TEMPO,0.14999999999999997,4,200.0
FAPI-TEMPO,0.16999999999999998,0,0.0
FAPI-TEMPO,0.19,0,0.0
FAPI-TEMPO,0.20999999999999996,0,0.0
FAPI-TEMPO,0.22999999999999998,3,150.0
FAPI-TEMPO,0.24999999999999994,2,100.0
FAPI-TEMPO,0.26999999999999996,0,0.0
