dataset,t_center_s,count,rate_per_s
FAPI,0.005,2,200.0
FAPI,0.015,0,0.0
FAPI,0.025,0,0.0
FAPI,0.035,4,400.0
FAPI,0.045,0,0.0
FAPI,0.055,5,500.0
FAPI,0.065,0,0.0
FAPI,0.07500000000000001,2,200.0
FAPI,0.08499999999999999,19,1900.0
FAPI,0.095,0,0.0
FAPI,0.10500000000000001,0,0.0
FAPI,0.11499999999999999,0,0.0
FAPI,0.125,0,0.0
FAPI,0.135,2,200.0
FAPI,0.14500000000000002,0,0.0
FAPI,0.155,1,100.0
FAPI,0.165,0,0.0
FAPI,0.175,0,0.0
FAPI,0.185,0,0.0
FAPI,0.195,0,0.0
FAPI,0.20500000000000002,0,0.0
FAPI,0.215,0,0.0
FAPI,0.225,1,100.0
FAPI,0.235,1,100.0
FAPI,0.245,1,100.0
FAPI,0.255,0,0.0
FAPI,0.265,0,0.0
FAPI,0.275,1,100.0
FAPI,0.28500000000000003,0,0.0
FAPI,0.295,0,0.0
FAPI,0.305,0,0.0
FAPI,0.315,0,0.0
FAPI,0.325,0,0.0
FAPI,0.335,1,100.0
FAPI,0.34500000000000003,0,0.0
FAPI,0.355,1,100.0
FAPI,0.365,1,100.0
FAPI,0.375,0,0.0
FAPI,0.385,1,100.0
FAPI,0.395,0,0.0
FAPI-TEMPO,0.045,9,900.0
FAPI-TEMPO,0.05500000000000001,0,0.0
FAPI-TEMPO,0.065,0,0.0
FAPI-TEMPO,0.07500000000000001,3,300.0
FAPI-TEMPO,0.08500000000000002,2,200.0
FAPI-TEMPO,0.095,1,100.0
FAPI-TEMPO,0.10500000000000001,1,100.0
FAPI-TEMPO,0.11500000000000002,0,0.0
FAPI-TEMPO,0.12500000000000003,0,0.0
FAPI-TEMPO,0.135,1,100.0
FAPI-TEMPO,0.14500000000000002,2,200.0
FAPI-TEMPO,0.15500000000000003,2,200.0
FAPI-TEMPO,0.16500000000000004,0,0.0
FAPI-TEMPO,0.17500000000000004,0,0.0
FAPI-TEMPO,0.18500000000000003,0,0.0
FAPI-TEMPO,0.19500000000000003,0,0.0
FAPI-TEMPO,0.20500000000000004,0,0.0
FAPI-TEMPO,0.21500000000000005,1,100.0
FAPI-TEMPO,0.22500000000000003,2,200.0
FAPI-TEMPO,0.23500000000000004,0,0.0
FAPI-TEMPO,0.24500000000000005,2,200.0
FAPI-TEMPO,0.255,0,0.0
