dataset,track_id,t_s
FAPI,0,0.004
FAPI,1,0.006
FAPI,2,0.034
FAPI,3,0.036
FAPI,4,0.036
FAPI,5,0.038
FAPI,6,0.05
FAPI,7,0.05
FAPI,9,0.054
FAPI,8,0.054
FAPI,10,0.056
FAPI,11,0.078
FAPI,12,0.078
FAPI,22,0.082
FAPI,20,0.082
FAPI,19,0.082
FAPI,18,0.082
FAPI,21,0.082
FAPI,16,0.082
FAPI,15,0.082
FAPI,14,0.082
FAPI,13,0.082
FAPI,17,0.082
FAPI,31,0.084
FAPI,29,0.084
FAPI,28,0.084
FAPI,27,0.084
FAPI,30,0.084
FAPI,25,0.084
FAPI,24,0.084
FAPI,23,0.084
FAPI,26,0.084
FAPI,32,0.134
FAPI,33,0.136
FAPI,34,0.152
FAPI,35,0.222
FAPI,36,0.234
FAPI,37,0.248
FAPI,38,0.278
FAPI,39,0.336
FAPI,40,0.356
FAPI,41,0.362
FAPI,42,0.384
FAPI-TEMPO,85,0.04
FAPI-TEMPO,87,0.04
FAPI-TEMPO,80,0.04
FAPI-TEMPO,78,0.04
FAPI-TEMPO,79,0.04
FAPI-TEMPO,97,0.042
FAPI-TEMPO,105,0.044
FAPI-TEMPO,104,0.044
FAPI-TEMPO,113,0.048
FAPI-TEMPO,216,0.07
FAPI-TEMPO,214,0.072
FAPI-TEMPO,232,0.078
FAPI-TEMPO,245,0.082
FAPI-TEMPO,246,0.082
FAPI-TEMPO,270,0.092
FAPI-TEMPO,304,0.106
FAPI-TEMPO,362,0.136
FAPI-TEMPO,371,0.142
FAPI-TEMPO,392,0.146
FAPI-TEMPO,416,0.154
FAPI-TEMPO,412,0.154
FAPI-TEMPO,562,0.22
FAPI-TEMPO,624,0.224
FAPI-TEMPO,618,0.224
FAPI-TEMPO,751,0.246
FAPI-TEMPO,765,0.25
