dataset,t_s,growth_um_per_s,n_steps
FAPI,0.03,99.03094565542858,5
FAPI,0.05,105.94220783920072,15
FAPI,0.07,88.22426582493614,62
FAPI,0.09,64.241263919814,153
FAPI,0.11,62.2214020567311,267
FAPI,0.13,40.84264811237692,486
FAPI,0.15,21.340537146167904,557
FAPI,0.17,6.950431154958636,537
FAPI,0.19,2.147957914077736,495
FAPI,0.21,1.251972556480352,487
FAPI,0.23,1.977319033964697,493
FAPI,0.25,3.957202336049015,477
FAPI,0.27,1.7772830513151183,472
FAPI,0.29,1.8265267842414443,463
FAPI,0.31,1.4171139564385091,437
FAPI,0.33,3.100070269283384,441
FAPI,0.35,1.9114664703453463,444
FAPI,0.37,14.771719616399004,451
FAPI,0.39,7.063962157015435,449
FAPI,0.41,8.807994200589642,88
FAPI-TEMPO,0.03,8.4112040331914,29
FAPI-TEMPO,0.05,22.720275570428548,191
FAPI-TEMPO,0.07,4.755518369916167,280
FAPI-TEMPO,0.09,0.0,350
FAPI-TEMPO,0.11,0.0,313
FAPI-TEMPO,0.13,0.0389205691163456,295
FAPI-TEMPO,0.15,0.0,327
FAPI-TEMPO,0.17,0.0,295
FAPI-TEMPO,0.19,0.0,326
FAPI-TEMPO,0.21,0.1162302665204191,305
FAPI-TEMPO,0.23,5.2750159430897945,429
FAPI-TEMPO,0.25,3.5850679607475504,758
FAPI-TEMPO,0.27,0.0,1062
FAPI-TEMPO,0.29,0.2404692037958899,890
FAPI-TEMPO,0.31,0.0,870
FAPI-TEMPO,0.33,0.0,915
FAPI-TEMPO,0.35,0.0,857
FAPI-TEMPO,0.37,1.9935603492194551,279
