primary_failure_mode,track_id,plot_path,fit_status_norm,qc_pass_norm,tau_ms_norm,r2_norm,fit_window_ms_norm,fit_window_over_tau
fit_status:too_few_points,461,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\01_track_461.png,too_few_points,0,,,,
fit_status:too_few_points,486,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\02_track_486.png,too_few_points,0,,,,
fit_status:too_few_points,887,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\03_track_887.png,too_few_points,0,,,,
fit_status:too_few_points,704,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\04_track_704.png,too_few_points,0,,,,
fit_status:too_few_points,67,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\05_track_67.png,too_few_points,0,,,,
fit_status:too_few_points,909,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\06_track_909.png,too_few_points,0,,,,
fit_status:too_few_points,939,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\07_track_939.png,too_few_points,0,,,,
fit_status:too_few_points,924,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\08_track_924.png,too_few_points,0,,,,
fit_status:too_few_points,795,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\09_track_795.png,too_few_points,0,,,,
fit_status:too_few_points,500,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\10_track_500.png,too_few_points,0,,,,
fit_status:too_few_points,946,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\11_track_946.png,too_few_points,0,,,,
fit_status:too_few_points,300,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\fit_status_too_few_points\12_track_300.png,too_few_points,0,,,,
unspecified,631,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\01_track_631.png,ok,0,83.74107878484315,0.866422936952658,,
unspecified,133,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\02_track_133.png,ok,0,1999.9999998914232,0.7535150652284608,,
unspecified,80,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\03_track_80.png,ok,0,15.737574054087087,0.7180152789025805,,
unspecified,71,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\tau_recovery_debug\failed_fit_plots_by_mode\unspecified\04_track_71.png,ok,0,13.936048078231002,0.931785054280699,,
