dataset,label,file_path,n_rows,n_cols,columns_json,schema_type,parse_ok,warnings
FAPI,canonical:Nt_curve.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\Nt_curve.csv,20.0,3.0,"[""t_ms"", ""t_s"", ""N""]",unknown,True,
FAPI,canonical:active_tracks_source.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\active_tracks_source.csv,98.0,3.0,"[""frame_idx"", ""time_ms"", ""active_tracks""]",unknown,True,
FAPI,canonical:events.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\events.csv,43.0,4.0,"[""track_id"", ""nuc_frame_i"", ""t_ms"", ""t_s""]",unknown,True,
FAPI,canonical:frame_kinetics.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\frame_kinetics.csv,2738.0,12.0,"[""frame_id"", ""time_ms"", ""annotation_id"", ""class"", ""area_px"", ""cx"", ""cy"", ""bbox_x"", ""bbox_y"", ""bbox_w"", ""bbox_h"", ""R_px""]",frame_kinetics,True,
FAPI,canonical:growth_rate_vs_time.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\growth_rate_vs_time.csv,20.0,4.0,"[""time_ms"", ""n_steps"", ""median_um_per_s_raw"", ""median_um_per_s_clipped""]",growth_curve,True,
FAPI,canonical:metadata.yaml,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\metadata.yaml,,,[],non_csv,True,skipped_non_csv
FAPI,canonical:rate_curve.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\rate_curve.csv,20.0,3.0,"[""t_center_ms"", ""t_center_s"", ""dNdt_per_s""]",unknown,True,
FAPI,canonical:tau_fits.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\tau_fits.csv,43.0,5.0,"[""track_id"", ""tau_ms"", ""r0_px"", ""A_px"", ""rmse_px""]",tau_table,True,
FAPI,canonical:tracks_source.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\canonical_inputs\FAPI\tracks_source.csv,339.0,21.0,"[""dataset"", ""track_id_input"", ""frame_idx"", ""t_ms"", ""det_id"", ""cx"", ""cy"", ""bbox_x"", ""bbox_y"", ""bbox_w"", ""bbox_h"", ""area_px"", ""R_px"", ""score"", ""R_mono"", ""track_id"", ""r_px"", ""time_ms"", ""x_um"", ""y_um"", ""r_um""]",track_summary_or_events,True,
FAPI,raw:matched_kinetics_for_compare/kinetics_tau0p3_Nt.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI\matched_kinetics_for_compare\kinetics_tau0p3_Nt.csv,20.0,3.0,"[""t_ms"", ""t_s"", ""N""]",unknown,True,
FAPI,raw:matched_kinetics_for_compare/kinetics_tau0p3_events_FAPI.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI\matched_kinetics_for_compare\kinetics_tau0p3_events_FAPI.csv,43.0,4.0,"[""track_id"", ""nuc_frame_i"", ""t_ms"", ""t_s""]",unknown,True,
FAPI,raw:matched_kinetics_for_compare/kinetics_tau0p3_rate.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI\matched_kinetics_for_compare\kinetics_tau0p3_rate.csv,20.0,3.0,"[""t_center_ms"", ""t_center_s"", ""dNdt_per_s""]",unknown,True,
FAPI,raw:retrack_cuda_vith/FAPI_active_tracks.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI\retrack_cuda_vith\FAPI_active_tracks.csv,98.0,3.0,"[""frame_idx"", ""time_ms"", ""active_tracks""]",unknown,True,
FAPI,raw:retrack_cuda_vith/FAPI_retracked_tracks.csv,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\Kinetics\harmonization_checkpoints\v001_video_pair_fapi_vs_fapi_tempo\raw_snapshot\FAPI\retrack_cuda_vith\FAPI_retracked_tracks.csv,339.0,21.0,"[""dataset"", ""track_id_input"", ""frame_idx"", ""t_ms"", ""det_id"", ""cx"", ""cy"", ""bbox_x"", ""bbox_y"", ""bbox_w"", ""bbox_h"", ""area_px"", ""R_px"", ""score"", ""R_mono"", ""track_id"", ""r_px"", ""time_ms"", ""x_um"", ""y_um"", ""r_um""]",track_summary_or_events,True,
