track_id,tau_ms,tau_s,tau_source_status,fit_status,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points_total,n_points_fit,fit_span_ms,tau_over_track_span,t_nuc_ms,t_start_fit_ms,t_end_fit_ms,R0_px,R_end_px,R_max_px,dynamic_range_px,fit_rmse_px,amp_px,neg_step_frac,hit_tau_lower_bound,hit_tau_upper_bound,notes,tau_qc_pass,tau_qc_failure_reasons
0,,,recovered_from_tracks,fit_exception,,,,1,1,0.0,,0.0,0.0,0.0,79.43661110412167,79.43661110412167,79.43661110412167,0.0,,,,False,False,Need at least 3 points to fit tau,False,fit_status:fit_exception
1,4.748012764122506,0.004748012764122506,recovered_from_tracks,ok,0.2722780485744718,0.23262147541128697,8.003348324406389,20,20,38.0,0.12494770431901331,0.0,0.0,38.0,14.884343478431232,15.67594437773643,16.273715780512877,1.432205033989021,0.3331616480979985,0.7259138875794141,0.42105263157894735,False,False,,False,dynamic_range_too_small;fit_r2_low;too_many_negative_steps
2,2.915423064917697,0.002915423064917697,recovered_from_tracks,ok,0.03579321244339806,0.3076525634690034,125.53924142406832,184,184,366.0,0.007965636789392615,0.0,0.0,366.0,74.42171739215615,80.34503402082343,97.13240976361884,22.710692371462684,6.987002726236434,15.468270724907155,0.5245901639344263,False,False,,False,fit_r2_low;fit_nrmse_high;fit_window_too_long_vs_tau;too_many_negative_steps
3,,,recovered_from_tracks,fit_exception,,,,1,1,0.0,,0.0,0.0,0.0,114.612444276495,114.612444276495,114.612444276495,0.0,,,,False,False,Need at least 3 points to fit tau,False,fit_status:fit_exception
4,10.31532219812829,0.010315322198128292,recovered_from_tracks,ok,0.9578088687788039,0.053042545972562305,4.653272004311177,25,25,48.0,0.2149025457943394,2.0,2.0,50.0,21.43920417481474,31.594616678674356,31.594616678674356,10.155412503859615,0.5386689346063077,9.817049994283183,0.20833333333333334,False,False,,True,
5,10.31532219812829,0.010315322198128292,recovered_from_tracks,ok,0.9847741020653981,0.03815816578836091,2.1327496686426226,12,12,22.0,0.46887828173310414,4.0,4.0,26.0,68.96049375973053,77.82544901447835,77.82544901447835,8.864955254747827,0.3382704323170688,9.908711679384263,0.18181818181818182,False,False,,True,
6,3.8892173338680327,0.0038892173338680325,recovered_from_tracks,ok,0.9945941194581569,0.02596155040780478,2.056969131124276,5,5,8.0,0.4861521667335041,4.0,4.0,12.0,38.381481905452574,45.95981293168669,45.95981293168669,7.5783310262341175,0.19674522294460797,8.591408996247939,0.0,False,False,,False,too_few_points_total;too_few_points_fit;fit_span_too_short
7,33.40050611998421,0.03340050611998421,recovered_from_tracks,ok,0.9779010061137349,0.045839284255291574,0.7784313179746599,14,14,26.0,1.2846348507686234,10.0,10.0,36.0,23.615226456547084,45.29005306431366,45.98750791035654,22.372281453809457,1.0255293690005596,41.124783684798125,0.15384615384615385,False,False,,False,fit_window_too_short_vs_tau
8,14.70708650041059,0.014707086500410589,recovered_from_tracks,ok,0.8461354622271834,0.05913518003916351,24.070029097205424,178,178,354.0,0.04154544209155534,12.0,12.0,366.0,104.87250920723856,178.594299559534,178.70120598782376,73.82869678058519,4.365873276176717,65.66479478263085,0.4180790960451977,False,False,,False,fit_window_too_long_vs_tau;too_many_negative_steps
9,37.31571354905278,0.03731571354905278,recovered_from_tracks,ok,0.9929019537878596,0.02373567232595528,1.5007082720362854,28,28,56.0,0.6663520276616568,12.0,12.0,68.0,56.24944682987451,77.57965795208892,77.57965795208892,21.330211122214415,0.5062869018403282,26.515829197376863,0.07407407407407407,False,False,,True,
10,,,recovered_from_tracks,fit_exception,,,,1,1,0.0,,12.0,12.0,12.0,111.40708721656073,111.40708721656073,111.40708721656073,0.0,,,,False,False,Need at least 3 points to fit tau,False,fit_status:fit_exception
11,11.524484297596716,0.011524484297596716,recovered_from_tracks,ok,0.13548320613975118,0.1689420912835125,20.131052636201744,117,117,232.0,0.04967450128274447,12.0,12.0,244.0,70.57558429799896,56.09077388519958,84.2892440328077,28.19847014760812,4.763908517732613,10.255906159068736,0.4827586206896552,False,False,,False,fit_r2_low;fit_window_too_long_vs_tau;too_many_negative_steps
12,400.0000000000001,0.40000000000000013,recovered_from_tracks,ok,0.9294752317132768,0.09480414666306355,0.03499999999999999,8,8,14.0,28.57142857142858,14.0,14.0,28.0,28.07374713484229,34.595450164018,34.595450164018,6.521703029175708,0.6182844904709196,181.45098936392824,0.14285714285714285,False,True,tau_at_upper_bound,False,fit_span_too_short;tau_out_of_bounds;fit_window_too_short_vs_tau;tau_poorly_constrained_vs_track_span;hit_tau_upper_bound
13,16.799373666247643,0.016799373666247643,recovered_from_tracks,ok,0.973468349990051,0.04847776710603217,1.1905205751916141,11,11,20.0,0.8399686833123822,16.0,16.0,36.0,24.9777376261388,47.09546991939515,47.09546991939515,22.11773229325635,1.072218275026048,29.7155429943883,0.1,False,False,,True,
14,2.609533535895589,0.002609533535895589,recovered_from_tracks,ok,0.0028357295497378754,0.2870706120242212,133.3571671768406,175,175,348.0,0.007498659585906865,18.0,18.0,366.0,109.01567736136856,99.82170443895149,115.54183929013844,15.937208210171164,4.575104114851278,2.61624814574022,0.5287356321839081,False,False,,False,fit_r2_low;fit_window_too_long_vs_tau;too_many_negative_steps
15,2.0,0.002,recovered_from_tracks,ok,-0.3501160450947618,0.3107351978692385,174.0,175,175,348.0,0.005747126436781609,18.0,18.0,366.0,100.8811363985763,84.56823589727652,117.81164745965488,41.715041428534676,12.962331652419204,0.0,0.47126436781609193,True,False,tau_at_lower_bound,False,fit_r2_low;fit_nrmse_high;fit_window_too_long_vs_tau;too_many_negative_steps;hit_tau_lower_bound
16,215.02217742483774,0.21502217742483773,recovered_from_tracks,ok,0.6605563379809984,0.12959063929723075,1.6091363418591849,174,174,346.0,0.6214513798405715,20.0,20.0,366.0,55.440060073837245,89.06336151134238,89.06336151134238,33.623301437505134,4.357265128569788,37.68480937297746,0.41040462427745666,False,False,,False,fit_r2_low;too_many_negative_steps
17,16.431051224762765,0.016431051224762766,recovered_from_tracks,ok,0.9957748803173295,0.01897154844987488,1.8258113610398745,16,16,30.0,0.5477017074920921,22.0,22.0,52.0,67.99362313433059,89.51254914825283,89.51254914825283,21.51892601392224,0.4082473474623987,24.906102398758687,0.0,False,False,,True,
18,4.963263801749598,0.004963263801749598,recovered_from_tracks,ok,0.9691487200948631,0.05653480451843839,2.82072453917619,8,8,14.0,0.3545188429821141,22.0,22.0,36.0,22.847936741452536,36.823906842470535,37.23651251415192,14.388575772699383,0.8134553186082982,14.808647290623595,0.2857142857142857,False,False,,False,fit_span_too_short
19,400.0000000000001,0.40000000000000013,recovered_from_tracks,ok,0.07148406931077911,0.3935336878034884,0.009999999999999997,3,3,4.0,100.00000000000003,22.0,22.0,26.0,121.27320388789876,121.8283767148598,121.8283767148598,1.1656476140865806,0.45872160425082953,20.01358381255693,0.5,False,True,tau_at_upper_bound,False,too_few_points_total;too_few_points_fit;fit_span_too_short;tau_out_of_bounds;dynamic_range_too_small;fit_r2_low;fit_nrmse_high;fit_window_too_short_vs_tau;tau_poorly_constrained_vs_track_span;too_many_negative_steps;hit_tau_upper_bound
20,7.563005735029783,0.007563005735029783,recovered_from_tracks,ok,0.9899339715662772,0.027607134282932468,4.231122006398159,17,17,32.0,0.23634392921968073,22.0,22.0,54.0,36.24890633062862,49.63585920544279,49.63585920544279,13.38695287481417,0.36957540565428365,13.267597922992556,0.125,False,False,,True,
