track_id,n_points,t_nuc_ms,t_end_ms,R0_px,R_end_px,R_max_px,fit_t0_ms,fit_t1_ms,duration_ms,tau_ms,r0_px,A_px,rmse_px,fit_status,notes
0,1,0.0,0.0,79.43661110412167,79.43661110412167,79.43661110412167,0.0,0.0,0.0,,,,,failed,too_few_points
1,20,0.0,38.0,14.884343478431232,15.67594437773643,16.273715780512877,0.0,38.0,38.0,,,,,failed,too_flat
2,184,0.0,366.0,74.42171739215615,80.34503402082343,97.13240976361884,0.0,366.0,366.0,2.849549170050087,73.89223839858265,15.997565960669325,7.025148380258986,ok,ok_grid_fit
3,1,0.0,0.0,114.612444276495,114.612444276495,114.612444276495,0.0,0.0,0.0,,,,,failed,too_few_points
4,25,2.0,50.0,21.43920417481474,31.594616678674356,31.594616678674356,2.0,50.0,48.0,11.341576378048842,21.981126619177218,9.394798129256282,0.5440894545834889,ok,ok_grid_fit
5,12,4.0,26.0,68.96049375973053,77.82544901447835,77.82544901447835,4.0,26.0,22.0,10.019729164344715,68.89356250407555,9.876460965673823,0.36964970921890844,ok,ok_grid_fit
6,5,4.0,12.0,38.381481905452574,45.95981293168669,45.95981293168669,4.0,12.0,8.0,3.9700800577809265,38.45518061505632,8.56629938117812,0.2504432477450589,ok,ok_grid_fit
7,14,10.0,36.0,23.615226456547084,45.29005306431366,45.98750791035654,10.0,36.0,26.0,36.66883344273641,23.87613109327777,43.3976822016056,1.1032561636336227,ok,ok_grid_fit
8,178,12.0,366.0,104.87250920723856,178.594299559534,178.70120598782376,12.0,366.0,354.0,13.230917667948997,97.72504782824302,72.73166163832263,4.3203949674876725,ok,ok_grid_fit
9,28,12.0,68.0,56.24944682987451,77.57965795208892,77.57965795208892,12.0,68.0,56.0,38.18179682036631,56.35963376306323,26.679045256520677,0.5245784980212015,ok,ok_grid_fit
10,1,12.0,12.0,111.40708721656073,111.40708721656073,111.40708721656073,12.0,12.0,0.0,,,,,failed,too_few_points
11,117,12.0,244.0,70.57558429799896,56.09077388519958,84.2892440328077,12.0,244.0,232.0,10.289179125482983,68.56739997258677,12.26639604560754,4.79628171574451,ok,ok_grid_fit
12,8,14.0,28.0,28.07374713484229,34.595450164018,34.595450164018,14.0,28.0,14.0,140.0,27.56920300671145,72.5125194440712,0.6518355074463399,ok,ok_grid_fit
13,11,16.0,36.0,24.9777376261388,47.09546991939515,47.09546991939515,16.0,36.0,20.0,16.82062101070521,25.038515574799987,29.623637462255736,1.184977312167139,ok,ok_grid_fit
14,175,18.0,366.0,109.01567736136856,99.82170443895149,115.54183929013844,18.0,366.0,348.0,2.5488018013479894,108.72404408659148,2.9085070867444442,4.60140906729681,ok,ok_grid_fit
15,175,18.0,366.0,100.8811363985763,84.56823589727652,117.81164745965488,18.0,366.0,348.0,,,,,failed,grid_fit_failed
16,174,20.0,366.0,55.440060073837245,89.06336151134238,89.06336151134238,20.0,366.0,346.0,3460.0,63.29834394365282,248.4111856309353,2.9891776683537867,ok,ok_grid_fit
17,16,22.0,52.0,67.99362313433059,89.51254914825283,89.51254914825283,22.0,52.0,30.0,17.510612685883125,68.34616939928797,25.17417295595909,0.4195224152997026,ok,ok_grid_fit
18,8,22.0,36.0,22.847936741452536,36.823906842470535,37.23651251415192,22.0,36.0,14.0,4.995995233069904,22.848567539552473,14.841597275383823,0.9393116133257927,ok,ok_grid_fit
19,3,22.0,26.0,121.27320388789876,121.8283767148598,121.8283767148598,22.0,26.0,4.0,,,,,failed,too_few_points
20,17,22.0,54.0,36.24890633062862,49.63585920544279,49.63585920544279,22.0,54.0,32.0,7.926378356612775,36.6841784293217,12.906100465528258,0.37218117199010564,ok,ok_grid_fit
21,170,24.0,362.0,29.42452872043851,104.464999583234,106.33738945823796,24.0,362.0,338.0,22.734960706207396,22.8329187723675,77.8012721381814,5.0207738010459,ok,ok_grid_fit
22,104,24.0,232.0,19.511499785403828,33.49214891450948,33.49214891450948,24.0,232.0,208.0,14.573512933654023,19.43121692305799,9.445584927348712,0.8904913942938268,ok,ok_grid_fit
23,20,24.0,62.0,24.77299861870477,37.55994429663814,37.55994429663814,24.0,62.0,38.0,16.43200732226989,25.238094582156894,13.11562485191958,0.571096533740046,ok,ok_grid_fit
24,12,24.0,46.0,22.65205369339104,41.53600345623234,41.53600345623234,24.0,46.0,22.0,12.153570966598508,23.22521661038406,20.827096811391332,0.9149758565692511,ok,ok_grid_fit
25,101,26.0,226.0,17.371176474327626,32.54743156102575,32.54743156102575,26.0,226.0,200.0,14.987069195471507,18.367459181197233,9.902484531434249,0.6635051158907299,ok,ok_grid_fit
26,101,26.0,226.0,16.622063085174787,42.47564519686223,42.47564519686223,26.0,226.0,200.0,24.90394169470064,17.904499157536968,14.65587438148972,1.6509808182906096,ok,ok_grid_fit
27,23,26.0,72.0,19.21560480373171,44.30954048488453,44.30954048488453,26.0,72.0,46.0,16.67313745416485,21.32369956600788,23.13419395883896,0.8968872895888451,ok,ok_grid_fit
28,171,26.0,366.0,109.32474379768276,98.77024547788072,115.26049370780385,26.0,366.0,340.0,,,,,failed,grid_fit_failed
29,100,28.0,226.0,15.635280380893438,28.47900261589753,28.47900261589753,28.0,226.0,198.0,11.053185253625987,16.433451226311757,7.494404749373115,0.7135364581623811,ok,ok_grid_fit
30,98,28.0,222.0,16.351767622932517,31.534109856442157,31.534109856442157,28.0,222.0,194.0,12.011294543612049,16.615396972770345,13.272839537918824,0.462456150127077,ok,ok_grid_fit
31,169,28.0,366.0,21.468877828012552,117.72515637892458,117.72515637892458,28.0,366.0,338.0,3380.0,4.04464417034326,1242.28829458671,18.718439317765874,ok,ok_grid_fit
32,100,28.0,226.0,44.12236693447059,66.23883657762545,66.23883657762545,28.0,226.0,198.0,12.403894548128603,44.584061852886705,17.107594595898963,0.7843803803656488,ok,ok_grid_fit
33,18,28.0,62.0,112.70807840533313,123.1433432134916,123.2105315785844,28.0,62.0,34.0,18.554371848502473,112.86069741003845,12.343776784072828,0.6570645127935967,ok,ok_grid_fit
34,3,28.0,32.0,60.81743892548952,60.995130541020615,60.995130541020615,28.0,32.0,4.0,,,,,failed,too_few_points
35,9,28.0,46.0,25.977239243415305,145.12728395794176,145.12728395794176,28.0,46.0,18.0,180.0,6.464718868960891,831.8455575989751,30.256067228185398,ok,ok_grid_fit
36,97,28.0,220.0,22.42609239636699,106.29547365706516,147.61511294104534,28.0,220.0,192.0,71.79119588431567,16.83393294887766,39.638051720517204,32.936832067002186,ok,ok_grid_fit
37,2,28.0,30.0,21.76338922689847,23.12489154112443,23.12489154112443,28.0,30.0,2.0,,,,,failed,too_few_points
38,98,30.0,224.0,24.54062559633988,35.21555503711461,35.21555503711461,30.0,224.0,194.0,15.830430530631103,24.665370276697956,8.039118669743596,0.5591339463302071,ok,ok_grid_fit
39,99,30.0,226.0,14.712264360219256,28.00563442518059,28.00563442518059,30.0,226.0,196.0,14.84583476830746,14.997212219109754,8.529710488271949,0.8163557220563625,ok,ok_grid_fit
40,169,30.0,366.0,110.77097766388434,136.16502579749854,138.16080216425192,30.0,366.0,336.0,3360.0,109.84083470531405,250.20863947610223,3.102119207561201,ok,ok_grid_fit
41,96,30.0,220.0,18.26441241104166,30.612159429303247,30.9431113115802,30.0,220.0,190.0,9.034882797673065,18.25976091663295,11.57143429302548,0.6233484462411348,ok,ok_grid_fit
42,15,30.0,58.0,23.42576026046658,30.46623751157884,30.46623751157884,30.0,58.0,28.0,10.857683634429229,23.818233465443907,6.919971459048023,0.32643026322449065,ok,ok_grid_fit
43,13,32.0,56.0,30.066594033278285,36.45904667847899,36.45904667847899,32.0,56.0,24.0,9.125106361590147,30.0567627927909,7.044666773605608,0.3835941896126312,ok,ok_grid_fit
44,168,32.0,366.0,112.3969873389064,131.7500463505591,162.15715549389296,32.0,366.0,334.0,8.9539958062584,110.10528028163891,32.90895020862111,9.511476780011852,ok,ok_grid_fit
45,96,32.0,222.0,29.747293718772774,42.38562253431362,42.38562253431362,32.0,222.0,190.0,20.64499958791827,29.162689598830397,10.014197304059875,0.6920662531150106,ok,ok_grid_fit
46,111,32.0,252.0,20.21657473114541,149.58580066027574,155.0279640788104,32.0,252.0,220.0,2200.0,4.671354281294118,807.3000097377752,30.552326020010778,ok,ok_grid_fit
47,168,32.0,366.0,69.63114379608811,179.84466674023818,181.94217466978208,32.0,366.0,334.0,3340.0,114.13945265260458,679.3499495842126,9.933674530176884,ok,ok_grid_fit
48,95,32.0,220.0,18.229523339239496,31.35188875547286,32.390575556198044,32.0,220.0,188.0,11.575649260582948,17.861150715067122,13.028010069346553,0.5901795797576488,ok,ok_grid_fit
49,168,32.0,366.0,22.19783106099576,163.25271866157829,163.25271866157829,32.0,366.0,334.0,3340.0,-6.4479889496020455,1963.2280500725756,28.317229221289903,ok,ok_grid_fit
50,168,32.0,366.0,19.44613444328572,160.4878897314299,160.4878897314299,32.0,366.0,334.0,3340.0,-15.543578616477959,2004.4415847178127,32.175628340353164,ok,ok_grid_fit
51,168,32.0,366.0,25.079480359432697,105.26029887039742,105.85736267834262,32.0,366.0,334.0,3340.0,28.861145125939586,852.4901609031558,11.291517692154445,ok,ok_grid_fit
52,55,34.0,142.0,28.209479177387816,36.37163574792636,37.3048364477789,34.0,142.0,108.0,14.229686107335784,28.505356461746143,8.33030922549318,0.5040697160809107,ok,ok_grid_fit
53,17,34.0,68.0,30.90193616185517,44.48161701780234,44.48161701780234,34.0,68.0,34.0,31.271191273668155,31.046553286222487,18.708798295901214,0.42923363009659166,ok,ok_grid_fit
54,167,34.0,366.0,93.71662808479162,144.6219416318441,144.6219416318441,34.0,366.0,332.0,3320.0,114.5939555078968,286.9784239393946,4.004232539483224,ok,ok_grid_fit
55,167,34.0,366.0,25.2313252202016,158.64866630490374,158.64866630490374,34.0,366.0,332.0,36.681438926765225,3.071488829973117,141.35480699781672,14.223044067493595,ok,ok_grid_fit
56,166,34.0,366.0,29.554057719513263,134.32926273893833,134.32926273893833,34.0,366.0,332.0,28.060960451564423,5.386428061128401,120.96461267115396,10.352614390240788,ok,ok_grid_fit
57,11,36.0,56.0,29.683021493047715,33.511151553720346,33.70058862844632,36.0,56.0,20.0,13.665214774314805,29.649669552810593,5.202602918394849,0.18863179385615966,ok,ok_grid_fit
58,98,36.0,230.0,24.04268606686374,44.581688273680136,44.581688273680136,36.0,230.0,194.0,14.43860015805461,23.536294663276074,14.11397936186736,1.2903649116748976,ok,ok_grid_fit
59,95,36.0,224.0,15.716503163191918,37.116642997494345,37.116642997494345,36.0,224.0,188.0,12.687504665741818,15.705116887610304,17.565780331752936,0.8330569152795467,ok,ok_grid_fit
60,166,36.0,366.0,16.42944866646031,80.11492086378139,80.11492086378139,36.0,366.0,330.0,3300.0,24.180694072096962,608.2866076546184,7.197173685146413,ok,ok_grid_fit
