metric,value
tracks_total,977.0
tau_nonnull,239.0
qc_pass,66.0
qc_fail_total,911.0
fit_fail,738.0
fit_ok_qc_fail,173.0
qc_pass_rate,0.06755373592630501
tau_ms_min_pass,7.713839214127428
tau_ms_p10_pass,11.355966490406544
tau_ms_median_pass,21.367326357380996
tau_ms_mean_pass,26.02907946707909
tau_ms_p90_pass,41.704624665481596
tau_ms_max_pass,114.20073760618584
fit_r2_median_pass,0.9576706686933788
fit_nrmse_range_median_pass,0.0573150428092505
dynamic_range_px_median_pass,19.168437710446263
n_points_fit_median_pass,30.0
fit_window_over_tau_median_pass,2.708716493953941
fail_reason::too_few_points_total,558.0
fail_reason::window_over_tau_lt_1.25,163.0
fail_reason::insufficient_dynamic_range,162.0
fail_reason::r2_lt_0.7,123.0
fail_reason::tau_near_upper_bound,57.0
fail_reason::tau_gt_400ms,49.0
fail_reason::fit_window_too_short,9.0
fail_reason::no_valid_exponential_fit,9.0
fail_reason::mono_lt_0.55,5.0
fail_reason::nrmse_gt_0.35,4.0
