track_id,fit_status,tau_qc_pass,tau_qc_fail_reasons,tau_qc_fail_reason,tau_ms,tau_lower_ms,tau_upper_ms,tau_lb_ratio,tau_ub_ratio,r2,n_points_total,n_points_fit,fit_t_start_ms,fit_t_end_ms,fit_window_ms,fit_window_over_tau,dynamic_range_px,monotonic_fraction,large_negative_step_frac,fit_nrmse_range,R0_px,Rinf_px,model_name
0,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
1,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,20,0,,,,,,,,,,,exp_rise_grid_loglin
3,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
5,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,12,0,,,,,,,,,,,exp_rise_grid_loglin
6,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,5,0,,,,,,,,,,,exp_rise_grid_loglin
10,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
12,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,8,0,,,,,,,,,,,exp_rise_grid_loglin
14,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,175,0,,,,,,,,,,,exp_rise_grid_loglin
15,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,175,0,,,,,,,,,,,exp_rise_grid_loglin
18,fit_fail,0,fit_window_too_short,fit_window_too_short,,2.0,400.0,,,,8,0,,,,,,,,,,,exp_rise_grid_loglin
19,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
28,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,171,0,,,,,,,,,,,exp_rise_grid_loglin
34,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
37,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
42,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,15,0,,,,,,,,,,,exp_rise_grid_loglin
43,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,13,0,,,,,,,,,,,exp_rise_grid_loglin
52,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,55,0,,,,,,,,,,,exp_rise_grid_loglin
57,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,11,0,,,,,,,,,,,exp_rise_grid_loglin
61,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,166,0,,,,,,,,,,,exp_rise_grid_loglin
63,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,166,0,,,,,,,,,,,exp_rise_grid_loglin
64,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,166,0,,,,,,,,,,,exp_rise_grid_loglin
65,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,166,0,,,,,,,,,,,exp_rise_grid_loglin
67,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
70,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
73,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
74,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,4,0,,,,,,,,,,,exp_rise_grid_loglin
83,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
87,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,92,0,,,,,,,,,,,exp_rise_grid_loglin
90,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,96,0,,,,,,,,,,,exp_rise_grid_loglin
94,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
98,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
111,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,87,0,,,,,,,,,,,exp_rise_grid_loglin
115,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,35,0,,,,,,,,,,,exp_rise_grid_loglin
116,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,60,0,,,,,,,,,,,exp_rise_grid_loglin
117,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,79,0,,,,,,,,,,,exp_rise_grid_loglin
121,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,5,0,,,,,,,,,,,exp_rise_grid_loglin
122,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
125,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
126,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,8,0,,,,,,,,,,,exp_rise_grid_loglin
128,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,75,0,,,,,,,,,,,exp_rise_grid_loglin
129,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
136,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
140,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,5,0,,,,,,,,,,,exp_rise_grid_loglin
141,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,6,0,,,,,,,,,,,exp_rise_grid_loglin
142,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,6,0,,,,,,,,,,,exp_rise_grid_loglin
144,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
146,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,5,0,,,,,,,,,,,exp_rise_grid_loglin
152,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
154,fit_fail,0,fit_window_too_short,fit_window_too_short,,2.0,400.0,,,,54,0,,,,,,,,,,,exp_rise_grid_loglin
155,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
156,fit_fail,0,fit_window_too_short,fit_window_too_short,,2.0,400.0,,,,30,0,,,,,,,,,,,exp_rise_grid_loglin
158,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
159,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,7,0,,,,,,,,,,,exp_rise_grid_loglin
161,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,1,0,,,,,,,,,,,exp_rise_grid_loglin
165,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,3,0,,,,,,,,,,,exp_rise_grid_loglin
168,fit_fail,0,fit_window_too_short,fit_window_too_short,,2.0,400.0,,,,24,0,,,,,,,,,,,exp_rise_grid_loglin
169,fit_fail,0,insufficient_dynamic_range,insufficient_dynamic_range,,2.0,400.0,,,,23,0,,,,,,,,,,,exp_rise_grid_loglin
171,fit_fail,0,too_few_points_total,too_few_points_total,,2.0,400.0,,,,2,0,,,,,,,,,,,exp_rise_grid_loglin
