label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI,FAPI_0.json,0,3789.0,276.0,0.6250522245563813,1506.562681446292,207.13222486144105,1506.562681446292,207.13222486144105,34.38631615754178,15.62914912575644,0.4619496190516875,0.1113988939243718,FAPI_0_0,782.8512,12.7179,107.0822,6.9767,0.142064,0.112659,0,0.0,0.0,5.046598,0.022927,0.214585,0.026823
FAPI,FAPI_0.json,1,13705.0,550.0,0.5693292868422891,1370.2907697920466,196.7761400948559,1370.2907697920466,196.7761400948559,64.9478403095378,29.519867058249837,0.7775256861068925,0.2366253642035542,FAPI_0_1,2831.6116,24.1877,221.2432,10.0282,0.273052,0.066192,1,20.6612,0.0,5.548226,0.012153,0.274883,0.03436
FAPI,FAPI_0.json,2,47676.0,1034.0,0.5603618979926109,909.132058058562,585.1418743183153,909.132058058562,585.1418743183153,123.53683188517525,56.14953225030008,0.2926493804108265,0.0801904172603197,FAPI_0_2,9850.4132,45.1133,383.4634,13.2023,0.158185,0.058094,1,23.3471,0.0,5.471442,0.006518,0.410089,0.051261
FAPI,FAPI_0.json,3,10902.0,555.0,0.4447644588515337,379.899926618969,695.411117226197,379.899926618969,695.411117226197,58.07822693178576,26.397514218088737,0.6768725185316254,0.229564502685155,FAPI_0_3,2252.4793,21.5729,202.4029,9.5917,0.309065,0.065819,0,0.0,0.0,5.450258,0.013596,0.445897,0.055737
FAPI,FAPI_0.json,4,30617.0,813.0,0.5820917003669382,292.0056504556292,342.9875559329784,292.0056504556292,342.9875559329784,98.90283453189484,44.95297323438273,0.3112570792335563,0.0865050927272661,FAPI_0_4,6325.8264,36.1523,305.2972,11.7801,0.147133,0.065997,0,0.0,0.0,5.137914,0.008087,0.555876,0.069484
FAPI,FAPI_0.json,5,3659.0,292.0,0.5392703846634008,1755.580759770429,383.63077343536486,1755.580759770429,383.63077343536486,33.665323102294764,15.301445863579026,0.6272122456177542,0.1589419423199271,FAPI_0_5,755.9917,12.4979,109.8283,7.0655,0.212414,0.102168,0,0.0,0.0,5.185438,0.023315,0.190938,0.023867
FAPI,FAPI_0.json,6,14149.0,578.0,0.5322062050938324,484.8932786769383,416.0841755601103,484.8932786769383,416.0841755601103,65.32987812157918,29.693509559200404,0.97015916621312,0.2920787069537672,FAPI_0_6,2923.3471,24.5764,228.6452,10.1946,0.297306,0.06294,0,0.0,0.0,5.205938,0.011899,0.51245,0.064056
FAPI,FAPI_0.json,7,48033.0,1064.0,0.5331707555892028,676.322611537901,745.6993733474902,676.322611537901,745.6993733474902,123.58126172936812,56.16972634894512,0.5188210228189931,0.136715623766005,FAPI_0_7,9924.1736,45.2819,392.3069,13.3537,0.189688,0.055288,2,41.1157,5.6978,5.547065,0.00649,0.404977,0.050622
FAPI,FAPI_0.json,8,13468.0,521.0,0.6235015323189544,304.20426195426194,505.002673002673,304.20426195426194,505.002673002673,65.25311921260658,29.658621366188772,0.5788366266845322,0.1540482225032205,FAPI_0_8,2782.6446,23.9776,210.6461,9.7851,0.211937,0.07353,0,0.0,0.0,5.264831,0.012212,0.317695,0.039712
FAPI,FAPI_0.json,9,20405.0,678.0,0.5578110014401174,1556.5001715265869,105.29321244792943,1556.5001715265869,105.29321244792943,80.54891169919796,36.61081190251437,0.427081383042531,0.1148708397421604,FAPI_0_9,4215.9091,29.5137,254.9285,10.7646,0.1848,0.069081,0,0.0,0.0,5.556021,0.009975,0.224387,0.028048
