label,json_file,grain_index,area_px,perimeter_px,circularity,nuc_x,nuc_y,centroid_x,centroid_y,R_mean_px,R_mean_um,A_polar,A_std,file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error
FAPI-TEMPO,FAPI_TEMPO_0.json,0,6362.0,362.0,0.6100794378113691,1402.1306193021062,480.32945614586606,1402.1306193021062,480.32945614586606,44.47636136778181,20.215241469989092,0.6659888332030902,0.1796250568095026,FAPI_TEMPO_0_0,1314.4628,16.4798,145.108,8.1215,0.215532,0.08836,0,0.0,0.0,5.095001,0.017737,0.220811,0.027601
FAPI-TEMPO,FAPI_TEMPO_0.json,1,3741.0,296.0,0.5365548811668834,1012.0114942528736,271.1622560812617,1012.0114942528736,271.1622560812617,33.751823914856075,15.340761912812852,0.8172895954140599,0.230688134078404,FAPI_TEMPO_0_1,772.9339,12.6371,116.1731,7.2668,0.280317,0.0908,0,0.0,0.0,5.338107,0.023211,0.361711,0.045214
FAPI-TEMPO,FAPI_TEMPO_0.json,2,7059.0,400.0,0.5544125635422587,1372.4395806771497,737.0079331350049,1372.4395806771497,737.0079331350049,46.90821284735945,21.320558167825432,0.7017713270698348,0.1716497933585288,FAPI_TEMPO_0_2,1458.4711,17.3591,155.7241,8.4133,0.244218,0.082159,0,0.0,0.0,5.134423,0.016853,0.298007,0.037251
FAPI-TEMPO,FAPI_TEMPO_0.json,3,14216.0,597.0,0.501231800133358,481.7204558244232,421.9439364096792,481.7204558244232,421.9439364096792,67.17756027623103,30.533311642091427,0.4418964198557808,0.1391538514526954,FAPI_TEMPO_0_3,2937.1901,24.6345,224.9553,10.112,0.270627,0.065857,0,0.0,0.0,5.362406,0.011924,0.210279,0.026285
FAPI-TEMPO,FAPI_TEMPO_0.json,4,6148.0,394.0,0.4976812500778182,1416.9308718282368,400.2576447625244,1416.9308718282368,400.2576447625244,43.259401494887655,19.662113090479536,0.8420006851256475,0.248443194800192,FAPI_TEMPO_0_4,1270.2479,16.2002,150.0679,8.2591,0.291201,0.078541,0,0.0,0.0,5.352176,0.01812,0.256586,0.032073
FAPI-TEMPO,FAPI_TEMPO_0.json,5,6818.0,398.0,0.5408797432432315,1863.4696391903783,298.3380756820182,1863.4696391903783,298.3380756820182,46.28287740509543,21.036332872042426,0.5059983896882629,0.13173358792315,FAPI_TEMPO_0_5,1408.6777,17.0602,148.4246,8.2138,0.196456,0.089466,0,0.0,0.0,5.147569,0.017158,0.247244,0.030905
FAPI-TEMPO,FAPI_TEMPO_0.json,6,6368.0,380.0,0.5541734631041497,1126.4806846733668,546.820351758794,1126.4806846733668,546.820351758794,44.84458324796922,20.38260440152409,0.4167140653348378,0.1097304463723097,FAPI_TEMPO_0_6,1315.7025,16.4876,145.3018,8.1269,0.216885,0.088149,0,0.0,0.0,5.341765,0.017824,0.182012,0.022752
FAPI-TEMPO,FAPI_TEMPO_0.json,7,8795.0,416.0,0.6386443090865901,1448.100511654349,273.79954519613415,1448.100511654349,273.79954519613415,52.85754341241917,24.024627256637835,0.4497877869099761,0.1113854281614258,FAPI_TEMPO_0_7,1817.1488,19.3764,170.186,8.7953,0.211589,0.081923,0,0.0,0.0,5.077579,0.015049,0.222537,0.027817
FAPI-TEMPO,FAPI_TEMPO_0.json,8,9683.0,484.0,0.5194324442440743,986.7856036352372,557.4466590932562,986.7856036352372,557.4466590932562,55.463606403201695,25.20912596616656,0.4529899058599313,0.1153152702736854,FAPI_TEMPO_0_8,2000.6198,20.331,179.2612,9.0268,0.217649,0.079191,0,0.0,0.0,5.259239,0.014437,0.140648,0.017581
FAPI-TEMPO,FAPI_TEMPO_0.json,9,1459.0,180.0,0.5658745285910504,1599.607950651131,499.1720356408499,1599.607950651131,499.1720356408499,21.11640386889963,9.59775462875073,0.4481224899436608,0.128720857647822,FAPI_TEMPO_0_9,301.4463,7.8919,66.1085,5.4817,0.133226,0.145526,0,0.0,0.0,5.073014,0.036954,0.241069,0.030134
