pair_id,metric,delta
0,"Full entropy (raw_reconstructed, mask)",0.20158202730061525
1,"Full entropy (raw_reconstructed, mask)",-0.061049728162853256
2,"Full entropy (raw_reconstructed, mask)",-0.02675621356894986
3,"Full entropy (raw_reconstructed, mask)",0.03563896050450932
4,"Full entropy (raw_reconstructed, mask)",-0.18050283874251516
5,"Full entropy (raw_reconstructed, mask)",-0.0700982157861878
7,"Full entropy (raw_reconstructed, mask)",-0.20936152170078604
8,"Full entropy (raw_reconstructed, mask)",-0.3175030105900092
9,"Full entropy (raw_reconstructed, mask)",-0.263140960554221
10,"Full entropy (raw_reconstructed, mask)",-0.0577047954846579
11,"Full entropy (raw_reconstructed, mask)",0.04418423263371185
12,"Full entropy (raw_reconstructed, mask)",0.030437418130042637
13,"Full entropy (raw_reconstructed, mask)",-0.12218520946040101
14,"Full entropy (raw_reconstructed, mask)",-0.3248435047268048
15,"Full entropy (raw_reconstructed, mask)",0.04845411088062512
16,"Full entropy (raw_reconstructed, mask)",0.23921010042970803
17,"Full entropy (raw_reconstructed, mask)",-0.033945908014101356
18,"Full entropy (raw_reconstructed, mask)",-0.0631227202910658
19,"Full entropy (raw_reconstructed, mask)",-0.045339708501700215
20,"Full entropy (raw_reconstructed, mask)",0.1867962421936733
21,"Full entropy (raw_reconstructed, mask)",0.07700792297570569
22,"Full entropy (raw_reconstructed, mask)",-0.18832055130055014
23,"Full entropy (raw_reconstructed, mask)",-0.013755266085047069
24,"Full entropy (raw_reconstructed, mask)",0.001649798443696504
25,"Full entropy (raw_reconstructed, mask)",0.021317536388462344
26,"Full entropy (raw_reconstructed, mask)",-0.0782569947438807
27,"Full entropy (raw_reconstructed, mask)",-0.10936372120861826
28,"Full entropy (raw_reconstructed, mask)",-0.010848179205443564
29,"Full entropy (raw_reconstructed, mask)",0.0010554729583480693
30,"Full entropy (raw_reconstructed, mask)",-0.013558855236512457
31,"Full entropy (raw_reconstructed, mask)",-0.0015564368719971355
32,"Full entropy (raw_reconstructed, mask)",-0.013521771220784018
33,"Full entropy (raw_reconstructed, mask)",-0.0008455898657304672
34,"Full entropy (raw_reconstructed, mask)",-0.020097205713164534
35,"Full entropy (raw_reconstructed, mask)",0.014962699720592276
36,"Full entropy (raw_reconstructed, mask)",-0.06511394885890098
37,"Full entropy (raw_reconstructed, mask)",-0.030817557069859447
38,"Full entropy (raw_reconstructed, mask)",-0.036745342957448024
39,"Full entropy (raw_reconstructed, mask)",-0.017909350564874416
40,"Full entropy (raw_reconstructed, mask)",-0.13472057989598163
41,"Full entropy (raw_reconstructed, mask)",0.06738139645377128
42,"Full entropy (raw_reconstructed, mask)",-0.0012141428001903876
43,"Full entropy (raw_reconstructed, mask)",-0.13014132245493215
44,"Full entropy (raw_reconstructed, mask)",-0.2527814182001906
45,"Full entropy (raw_reconstructed, mask)",-0.013289828753396016
46,"Full entropy (raw_reconstructed, mask)",0.020199290078187104
47,"Full entropy (raw_reconstructed, mask)",-0.12851580556214337
48,"Full entropy (raw_reconstructed, mask)",-0.18243403512731327
49,"Full entropy (raw_reconstructed, mask)",0.007719904952762313
50,"Full entropy (raw_reconstructed, mask)",0.006278085533697464
51,"Full entropy (raw_reconstructed, mask)",-0.0020279384407233536
52,"Full entropy (raw_reconstructed, mask)",-0.008580777503139458
53,"Full entropy (raw_reconstructed, mask)",-0.011167392067522819
54,"Full entropy (raw_reconstructed, mask)",0.04293925681286659
55,"Full entropy (raw_reconstructed, mask)",-0.18281074725718227
56,"Full entropy (raw_reconstructed, mask)",-0.1128751392349443
57,"Full entropy (raw_reconstructed, mask)",0.07564776440190268
58,"Full entropy (raw_reconstructed, mask)",0.10981486087419068
59,"Full entropy (raw_reconstructed, mask)",0.04786902766576784
60,"Full entropy (raw_reconstructed, mask)",-0.015499114267265135
61,"Full entropy (raw_reconstructed, mask)",0.039422193459264676
62,"Full entropy (raw_reconstructed, mask)",0.06306739602094869
63,"Full entropy (raw_reconstructed, mask)",0.08553306632888535
64,"Full entropy (raw_reconstructed, mask)",0.04093555552826711
65,"Full entropy (raw_reconstructed, mask)",0.10371499599551814
66,"Full entropy (raw_reconstructed, mask)",0.1596802977005991
67,"Full entropy (raw_reconstructed, mask)",0.017047207573127388
68,"Full entropy (raw_reconstructed, mask)",0.23315042785645002
69,"Full entropy (raw_reconstructed, mask)",0.14316807819058575
70,"Full entropy (raw_reconstructed, mask)",0.14182819507210898
71,"Full entropy (raw_reconstructed, mask)",0.13160164129399643
72,"Full entropy (raw_reconstructed, mask)",0.14377509061616145
73,"Full entropy (raw_reconstructed, mask)",0.05870520716767391
74,"Full entropy (raw_reconstructed, mask)",0.059050215839291376
75,"Full entropy (raw_reconstructed, mask)",-0.16920558569476984
76,"Full entropy (raw_reconstructed, mask)",-0.0114113782546017
77,"Full entropy (raw_reconstructed, mask)",0.07748165957372333
78,"Full entropy (raw_reconstructed, mask)",-0.03261882103431191
79,"Full entropy (raw_reconstructed, mask)",-0.15804875256223028
80,"Full entropy (raw_reconstructed, mask)",-0.1769280669642681
81,"Full entropy (raw_reconstructed, mask)",0.0808535948125737
82,"Full entropy (raw_reconstructed, mask)",0.05163901816002525
83,"Full entropy (raw_reconstructed, mask)",0.016018474932854687
84,"Full entropy (raw_reconstructed, mask)",0.01997721711137146
85,"Full entropy (raw_reconstructed, mask)",-0.10146578434718734
86,"Full entropy (raw_reconstructed, mask)",0.15326180639859643
87,"Full entropy (raw_reconstructed, mask)",0.07567922145004236
88,"Full entropy (raw_reconstructed, mask)",0.013294640574097905
89,"Full entropy (raw_reconstructed, mask)",-0.07056168095313708
90,"Full entropy (raw_reconstructed, mask)",-0.09557577251370297
91,"Full entropy (raw_reconstructed, mask)",0.0689889278032707
92,"Full entropy (raw_reconstructed, mask)",0.09020067994438552
93,"Full entropy (raw_reconstructed, mask)",0.02939267495562614
94,"Full entropy (raw_reconstructed, mask)",-0.06360924539940438
95,"Full entropy (raw_reconstructed, mask)",-0.15802366082769037
96,"Full entropy (raw_reconstructed, mask)",0.13369459397829253
97,"Full entropy (raw_reconstructed, mask)",0.15024476299086142
98,"Full entropy (raw_reconstructed, mask)",0.03639247293571035
99,"Full entropy (raw_reconstructed, mask)",-0.18616293807862938
100,"Full entropy (raw_reconstructed, mask)",0.03555180631575805
101,"Full entropy (raw_reconstructed, mask)",0.07680891135973145
102,"Full entropy (raw_reconstructed, mask)",0.03323328795437952
103,"Full entropy (raw_reconstructed, mask)",0.0202740113618205
104,"Full entropy (raw_reconstructed, mask)",-0.03681627752054961
105,"Full entropy (raw_reconstructed, mask)",-0.030281267485778862
106,"Full entropy (raw_reconstructed, mask)",-0.07331230709190795
107,"Full entropy (raw_reconstructed, mask)",0.13120062521177012
108,"Full entropy (raw_reconstructed, mask)",0.015465812197096973
109,"Full entropy (raw_reconstructed, mask)",0.009113262344447648
110,"Full entropy (raw_reconstructed, mask)",0.022763656642426078
112,"Full entropy (raw_reconstructed, mask)",-0.1295330550119509
113,"Full entropy (raw_reconstructed, mask)",0.26462259961818635
114,"Full entropy (raw_reconstructed, mask)",0.2516724600330704
116,"Full entropy (raw_reconstructed, mask)",0.1730007074250306
117,"Full entropy (raw_reconstructed, mask)",0.06860365411413749
119,"Full entropy (raw_reconstructed, mask)",0.24498855169427003
121,"Full entropy (raw_reconstructed, mask)",0.120691482972763
122,"Full entropy (raw_reconstructed, mask)",-0.03543201661361106
123,"Full entropy (raw_reconstructed, mask)",0.14396600277285998
124,"Full entropy (raw_reconstructed, mask)",0.24892235970929466
125,"Full entropy (raw_reconstructed, mask)",0.046333037399445054
126,"Full entropy (raw_reconstructed, mask)",0.1605134382794473
127,"Full entropy (raw_reconstructed, mask)",0.11853185121254306
128,"Full entropy (raw_reconstructed, mask)",0.13667249181251684
129,"Full entropy (raw_reconstructed, mask)",0.032502831747292404
132,"Full entropy (raw_reconstructed, mask)",0.111954374184978
133,"Full entropy (raw_reconstructed, mask)",0.0619740409393712
134,"Full entropy (raw_reconstructed, mask)",0.1043748077465585
135,"Full entropy (raw_reconstructed, mask)",0.00015271649748349603
136,"Full entropy (raw_reconstructed, mask)",0.022358251425230513
137,"Full entropy (raw_reconstructed, mask)",-0.10340627172073269
138,"Full entropy (raw_reconstructed, mask)",0.020658814289137517
139,"Full entropy (raw_reconstructed, mask)",-0.01737297885618805
141,"Full entropy (raw_reconstructed, mask)",-0.01734406862360771
142,"Full entropy (raw_reconstructed, mask)",-0.1500506918742195
143,"Full entropy (raw_reconstructed, mask)",0.07814172605212821
144,"Full entropy (raw_reconstructed, mask)",0.04195195812860941
146,"Full entropy (raw_reconstructed, mask)",-0.3352422972427993
147,"Full entropy (raw_reconstructed, mask)",-0.2956676126079447
148,"Full entropy (raw_reconstructed, mask)",-0.2872667893440308
149,"Full entropy (raw_reconstructed, mask)",-0.4001522791757859
150,"Full entropy (raw_reconstructed, mask)",-0.2605177994537211
151,"Full entropy (raw_reconstructed, mask)",-0.06915635983330315
152,"Full entropy (raw_reconstructed, mask)",-0.040920403859011856
153,"Full entropy (raw_reconstructed, mask)",-0.06386210248059143
154,"Full entropy (raw_reconstructed, mask)",-0.21591278830688942
155,"Full entropy (raw_reconstructed, mask)",-0.09195310538674661
156,"Full entropy (raw_reconstructed, mask)",-0.07941759317711305
157,"Full entropy (raw_reconstructed, mask)",-0.029965970886350668
158,"Full entropy (raw_reconstructed, mask)",-0.12167594951786498
159,"Full entropy (raw_reconstructed, mask)",-0.12445222224603203
160,"Full entropy (raw_reconstructed, mask)",-0.01003700438239985
161,"Full entropy (raw_reconstructed, mask)",-0.01412956122840825
