group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01
FAPI-TEMPO,FAPI_TEMPO_0,0,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_0.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_0.jpg,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_0_heatmap_norm01.png,13.0,183.0,323,1.2229467309308448,0.35286783679705985,1.5711418264968835,0.4533357043240564,1.4892514858787687,0.42970714666276394
FAPI-TEMPO,FAPI_TEMPO_1,1,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1_heatmap_norm01.png,20.0,216.0,350,1.036337231204149,0.29902371682936496,1.8087139055627004,0.5218845163884434,1.8775513271544786,0.5417467977400516
FAPI-TEMPO,FAPI_TEMPO_10,10,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_10.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_10_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_10_heatmap_norm01.png,19.0,205.0,373,1.1209503926735833,0.323437914518543,2.095476125499391,0.6046266029118381,2.055104764140818,0.5929778903466483
FAPI-TEMPO,FAPI_TEMPO_100,100,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_100.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_100_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_100_heatmap_norm01.png,18.0,219.0,420,0.8657249221189003,0.24979541038298428,1.8958085569124066,0.5470147207064782,2.0918197288746776,0.6035715898562386
FAPI-TEMPO,FAPI_TEMPO_1000,1000,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1000.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1000_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1000_heatmap_norm01.png,17.0,210.0,289,0.9262006053191288,0.26724500403245266,1.982665414032805,0.5720763121134382,1.9292944493938582,0.5566767069110244
FAPI-TEMPO,FAPI_TEMPO_1001,1001,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1001.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1001_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1001_heatmap_norm01.png,18.0,220.0,349,0.6929389195380611,0.19993990857130342,1.863005529607934,0.5375497677428166,1.9722469794234416,0.5690701873244873
FAPI-TEMPO,FAPI_TEMPO_1002,1002,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1002.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1002_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1002_heatmap_norm01.png,18.0,221.0,376,0.7858212381266945,0.2267400806541215,1.9718952359983692,0.5689686956254839,2.0095729364420336,0.5798401819419188
FAPI-TEMPO,FAPI_TEMPO_1003,1003,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1003.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1003_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1003_heatmap_norm01.png,17.0,216.0,426,0.6923314277867547,0.1997646235039053,1.775899031066281,0.5124161450477678,1.6842369657177256,0.48596806362456757
FAPI-TEMPO,FAPI_TEMPO_1004,1004,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1004.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1004_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1004_heatmap_norm01.png,18.0,220.0,364,0.8501013411761813,0.24528739783358672,1.923530884289686,0.5550136935522986,1.8969113862336626,0.5473329299850228
FAPI-TEMPO,FAPI_TEMPO_1005,1005,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1005.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1005_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1005_heatmap_norm01.png,17.0,220.0,428,0.6966522030565064,0.2010113357147986,1.7707159958422083,0.5109206372048632,2.0620129818234645,0.5949711806250753
