group,sample_id,pair_id,json_path,heatmap_path,heatmap_norm01_path,heatmap_min_before,heatmap_max_before,n_grains_used,entropy_inner_raw,entropy_inner_norm01,entropy_middle_raw,entropy_middle_norm01,entropy_outer_raw,entropy_outer_norm01,full_entropy_raw_reconstructed_mask
FAPI-TEMPO,FAPI_TEMPO_0,0,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_0.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_0.jpg,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_0_heatmap_norm01.png,13.0,183.0,323,1.2229467309308448,0.3528678367970598,1.5711418264968835,0.4533357043240564,1.4892514858787689,0.4297071466627639,6.282393298949726
FAPI-TEMPO,FAPI_TEMPO_1,1,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1_heatmap_norm01.png,20.0,216.0,350,1.036337231204149,0.2990237168293649,1.8087139055627004,0.5218845163884434,1.8775513271544784,0.5417467977400516,5.413832259548352
FAPI-TEMPO,FAPI_TEMPO_10,10,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_10.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_10_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_10_heatmap_norm01.png,19.0,205.0,373,1.120950392673583,0.323437914518543,2.095476125499391,0.6046266029118381,2.055104764140818,0.5929778903466483,5.627757199709367
FAPI-TEMPO,FAPI_TEMPO_100,100,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_100.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_100_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_100_heatmap_norm01.png,18.0,219.0,420,0.8657249221189003,0.2497954103829842,1.8958085569124064,0.5470147207064782,2.0918197288746776,0.6035715898562386,5.696424189542202
FAPI-TEMPO,FAPI_TEMPO_1000,1000,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1000.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1000_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1000_heatmap_norm01.png,17.0,210.0,289,0.9262006053191288,0.2672450040324526,1.982665414032805,0.5720763121134382,1.9292944493938584,0.5566767069110244,5.491243072461737
FAPI-TEMPO,FAPI_TEMPO_1001,1001,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1001.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1001_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1001_heatmap_norm01.png,18.0,220.0,349,0.6929389195380611,0.1999399085713034,1.863005529607934,0.5375497677428166,1.9722469794234416,0.5690701873244873,5.6702964545651495
FAPI-TEMPO,FAPI_TEMPO_1002,1002,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1002.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1002_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1002_heatmap_norm01.png,18.0,221.0,376,0.7858212381266945,0.2267400806541215,1.9718952359983688,0.5689686956254839,2.0095729364420336,0.5798401819419188,5.70120942402762
FAPI-TEMPO,FAPI_TEMPO_1003,1003,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1003.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1003_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1003_heatmap_norm01.png,17.0,216.0,426,0.6923314277867547,0.1997646235039053,1.775899031066281,0.5124161450477678,1.6842369657177256,0.4859680636245675,5.689494019713062
FAPI-TEMPO,FAPI_TEMPO_1004,1004,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1004.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1004_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1004_heatmap_norm01.png,18.0,220.0,364,0.8501013411761813,0.2452873978335867,1.923530884289686,0.5550136935522986,1.8969113862336624,0.5473329299850228,5.683669811757039
FAPI-TEMPO,FAPI_TEMPO_1005,1005,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1005.json,F:\Sandy_data\AI segemetation work\Sts_grain morphology_ML\comparative datasets\FAPI-TEMPO\FAPI_TEMPO_1005_heatmap.png,heatmaps_norm01\FAPI-TEMPO\FAPI_TEMPO_1005_heatmap_norm01.png,17.0,220.0,428,0.6966522030565064,0.2010113357147986,1.7707159958422083,0.5109206372048632,2.0620129818234645,0.5949711806250753,5.687733768971032
