frame_id,time_ms,annotation_id,class,area_px,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,R_px
frame_00000_t0.00ms,0.0,1,,15974212,2352.0,1712.0,0.0,12.0,4704.0,3400.0,2254.9389356689335
frame_00000_t0.00ms,0.0,2,,42332,4579.0,3237.0,4454.0,3050.0,250.0,374.0,116.08055005870806
frame_00001_t2.00ms,0.0,1,,15894548,2352.0,1711.0,0.0,12.0,4704.0,3398.0,2249.309175018587
frame_00001_t2.00ms,0.0,2,,43340,4579.0,3229.0,4454.0,3036.0,250.0,386.0,117.45446124862814
frame_00001_t2.00ms,0.0,3,,14412,4536.0,3362.0,4452.0,3300.0,168.0,124.0,67.73095363038078
frame_00002_t4.00ms,0.0,1,,15971384,2352.0,1713.0,0.0,12.0,4704.0,3402.0,2254.739324897141
frame_00002_t4.00ms,0.0,2,,46828,4578.0,3221.0,4452.0,3022.0,252.0,398.0,122.08937443616685
frame_00002_t4.00ms,0.0,3,,28416,4616.0,221.0,4528.0,0.0,176.0,442.0,95.10569765160548
frame_00002_t4.00ms,0.0,4,,14828,4536.0,3361.0,4452.0,3298.0,168.0,126.0,68.70152103362231
frame_00003_t6.00ms,0.0,1,,15969980,2352.0,1713.0,0.0,12.0,4704.0,3402.0,2254.6402187837894
frame_00003_t6.00ms,0.0,2,,24596,4614.0,87.0,4524.0,0.0,180.0,174.0,88.48248391956747
frame_00003_t6.00ms,0.0,3,,15612,4537.0,3360.0,4450.0,3296.0,174.0,128.0,70.49435398031065
frame_00004_t8.00ms,0.0,1,,15969636,2352.0,1713.0,0.0,12.0,4704.0,3402.0,2254.6159357097977
frame_00004_t8.00ms,0.0,2,,25564,4613.0,88.0,4522.0,0.0,182.0,176.0,90.20683970964966
frame_00004_t8.00ms,0.0,3,,16388,4538.0,3359.0,4448.0,3294.0,180.0,130.0,72.22508161836829
frame_00005_t10.00ms,0.0,1,,15968512,2352.0,1713.0,0.0,12.0,4704.0,3402.0,2254.5365903538795
frame_00005_t10.00ms,0.0,2,,26564,4609.0,88.0,4514.0,0.0,190.0,176.0,91.9542484966639
frame_00005_t10.00ms,0.0,3,,16888,4536.0,3358.0,4446.0,3292.0,180.0,132.0,73.31860171792597
frame_00006_t12.00ms,0.0,1,,15972628,2352.0,1713.0,0.0,10.0,4704.0,3406.0,2254.827133226853
frame_00006_t12.00ms,0.0,2,,27512,4606.0,88.0,4508.0,0.0,196.0,176.0,93.5806688835277
frame_00006_t12.00ms,0.0,3,,17524,4536.0,3358.0,4442.0,3292.0,188.0,132.0,74.68642745161097
frame_00007_t14.00ms,0.0,1,,15971808,2352.0,1713.0,0.0,10.0,4704.0,3406.0,2254.7692535222664
frame_00007_t14.00ms,0.0,2,,28036,4604.0,89.0,4504.0,0.0,200.0,178.0,94.46764509105091
frame_00007_t14.00ms,0.0,3,,18136,4537.0,3357.0,4442.0,3290.0,190.0,134.0,75.9793925734421
frame_00008_t16.00ms,0.0,1,,15970448,2352.0,1713.0,0.0,10.0,4704.0,3406.0,2254.6732546389394
frame_00008_t16.00ms,0.0,2,,28652,4602.0,89.0,4500.0,0.0,204.0,178.0,95.49981601520481
frame_00008_t16.00ms,0.0,3,,18736,4535.0,3357.0,4438.0,3290.0,194.0,134.0,77.22599321173864
frame_00008_t16.00ms,0.0,4,,1332,3983.0,2921.0,3964.0,2898.0,38.0,46.0,20.590987552733093
frame_00009_t18.00ms,0.0,1,,15971152,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2254.7229486888227
frame_00009_t18.00ms,0.0,2,,37128,4491.0,3337.0,4346.0,3250.0,290.0,174.0,108.71158840819032
frame_00009_t18.00ms,0.0,3,,29312,4601.0,90.0,4498.0,0.0,206.0,180.0,96.59347485114755
frame_00009_t18.00ms,0.0,5,,1452,3986.0,2921.0,3966.0,2898.0,40.0,46.0,21.498510523728477
frame_00010_t20.00ms,0.0,1,,15970788,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2254.6972547429623
frame_00010_t20.00ms,0.0,2,,38064,4486.0,3336.0,4338.0,3248.0,296.0,176.0,110.0733732911816
frame_00010_t20.00ms,0.0,3,,29576,4600.0,90.0,4496.0,0.0,208.0,180.0,97.02748679509222
frame_00010_t20.00ms,0.0,6,,1500,3984.0,2920.0,3964.0,2896.0,40.0,48.0,21.850968611841584
frame_00011_t22.00ms,0.0,1,,15971096,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2254.718995793133
frame_00011_t22.00ms,0.0,2,,49144,4598.0,256.0,4492.0,0.0,212.0,512.0,125.07206341392234
frame_00011_t22.00ms,0.0,3,,38520,4485.0,3336.0,4336.0,3248.0,298.0,176.0,110.73074015737282
frame_00011_t22.00ms,0.0,4,,29792,4599.0,89.0,4494.0,0.0,210.0,178.0,97.38114873622868
frame_00012_t24.00ms,0.0,1,,15983716,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2255.6096339468927
frame_00012_t24.00ms,0.0,2,,48352,4599.0,256.0,4494.0,0.0,210.0,512.0,124.06014515854254
frame_00012_t24.00ms,0.0,3,,39564,4485.0,3336.0,4334.0,3248.0,302.0,176.0,112.22126508365291
frame_00012_t24.00ms,0.0,4,,38852,4622.0,2767.0,4540.0,2622.0,164.0,290.0,111.20690490258524
frame_00012_t24.00ms,0.0,5,,29916,4599.0,90.0,4494.0,0.0,210.0,180.0,97.58359777685122
frame_00012_t24.00ms,0.0,10,,1024,1038.0,301.0,1022.0,282.0,32.0,38.0,18.0540666735282
frame_00013_t26.00ms,0.0,1,,15974716,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2254.9745080107623
frame_00013_t26.00ms,0.0,2,,48820,4598.0,256.0,4492.0,0.0,212.0,512.0,124.65908969462541
frame_00013_t26.00ms,0.0,3,,39760,4483.0,3335.0,4332.0,3246.0,302.0,178.0,112.49889365974902
frame_00013_t26.00ms,0.0,4,,38508,4621.0,2767.0,4538.0,2622.0,166.0,290.0,110.71349103503788
frame_00013_t26.00ms,0.0,5,,30136,4598.0,90.0,4492.0,0.0,212.0,180.0,97.9417517202685
frame_00013_t26.00ms,0.0,11,,1308,1037.0,299.0,1018.0,278.0,38.0,42.0,20.404639941160397
frame_00013_t26.00ms,0.0,12,,1016,3993.0,1197.0,3974.0,1178.0,38.0,38.0,17.983404693292407
frame_00014_t28.00ms,0.0,1,,15990908,2352.0,1710.0,0.0,0.0,4704.0,3420.0,2256.11704161275
frame_00014_t28.00ms,0.0,3,,48808,4598.0,255.0,4492.0,0.0,212.0,510.0,124.64376809475256
frame_00014_t28.00ms,0.0,4,,40176,4483.0,3335.0,4332.0,3246.0,302.0,178.0,113.08588765765592
frame_00014_t28.00ms,0.0,6,,38584,4622.0,2767.0,4540.0,2622.0,164.0,290.0,110.82269013390435
frame_00014_t28.00ms,0.0,7,,38076,4622.0,3146.0,4540.0,2974.0,164.0,344.0,110.09072270783771
frame_00014_t28.00ms,0.0,8,,30316,4598.0,91.0,4492.0,0.0,212.0,182.0,98.23381550946598
frame_00014_t28.00ms,0.0,16,,1244,3994.0,1196.0,3974.0,1176.0,40.0,40.0,19.899183360445615
frame_00015_t30.00ms,0.0,1,,15982856,2352.0,1708.0,0.0,0.0,4704.0,3416.0,2255.548951863363
frame_00015_t30.00ms,0.0,2,,115972,4583.0,2973.0,4462.0,2618.0,242.0,710.0,192.13285539049943
frame_00015_t30.00ms,0.0,4,,49120,4597.0,255.0,4490.0,0.0,214.0,510.0,125.04151954190175
frame_00015_t30.00ms,0.0,6,,40328,4482.0,3335.0,4330.0,3246.0,304.0,178.0,113.29960763400689
frame_00015_t30.00ms,0.0,7,,38824,4620.0,2766.0,4536.0,2622.0,168.0,288.0,111.16682518269329
frame_00015_t30.00ms,0.0,8,,38220,4622.0,3146.0,4540.0,2974.0,164.0,344.0,110.29870284796861
frame_00015_t30.00ms,0.0,9,,30300,4596.0,90.0,4488.0,0.0,216.0,180.0,98.20788945583169
frame_00015_t30.00ms,0.0,11,,19284,4535.0,3356.0,4436.0,3288.0,198.0,136.0,78.34722614852564
frame_00015_t30.00ms,0.0,17,,1344,3992.0,1195.0,3970.0,1174.0,44.0,42.0,20.683531783305643
frame_00016_t32.00ms,0.0,1,,15988072,2352.0,1709.0,0.0,0.0,4704.0,3418.0,2255.9169706835955
frame_00016_t32.00ms,0.0,2,,116864,4582.0,2976.0,4460.0,2618.0,244.0,716.0,192.87033607836773
frame_00016_t32.00ms,0.0,4,,61572,4563.0,2410.0,4422.0,2270.0,282.0,280.0,139.99634392407668
