"track_id","nuc_frame_i","t_ms","t_s"
"85","20","40","0.04"
"87","20","40","0.04"
"80","20","40","0.04"
"78","20","40","0.04"
"79","20","40","0.04"
"97","21","42","0.042"
"105","22","44","0.044"
"104","22","44","0.044"
"113","24","48","0.048"
"216","35","70","0.07"
"214","36","72","0.072"
"232","39","78","0.078"
"246","41","82","0.082"
"245","41","82","0.082"
"270","46","92","0.092"
"304","53","106","0.106"
"362","68","136","0.136"
"371","71","142","0.142"
"392","73","146","0.146"
"416","77","154","0.154"
"412","77","154","0.154"
"562","110","220","0.22"
"624","112","224","0.224"
"618","112","224","0.224"
"751","123","246","0.246"
"765","125","250","0.25"
