track_id,nuc_frame_i,t_ms,t_s
0,2,4.0,0.004
1,3,6.0,0.006
2,17,34.0,0.034
3,18,36.0,0.036
4,18,36.0,0.036
5,19,38.0,0.038
6,25,50.0,0.05
7,25,50.0,0.05
8,27,54.0,0.054
9,27,54.0,0.054
10,28,56.0,0.056
11,39,78.0,0.078
12,39,78.0,0.078
13,41,82.0,0.082
14,41,82.0,0.082
15,41,82.0,0.082
16,41,82.0,0.082
17,41,82.0,0.082
18,41,82.0,0.082
19,41,82.0,0.082
20,41,82.0,0.082
21,41,82.0,0.082
22,41,82.0,0.082
23,42,84.0,0.084
24,42,84.0,0.084
25,42,84.0,0.084
26,42,84.0,0.084
27,42,84.0,0.084
28,42,84.0,0.084
29,42,84.0,0.084
30,42,84.0,0.084
31,42,84.0,0.084
32,67,134.0,0.134
33,68,136.0,0.136
34,76,152.0,0.152
35,111,222.0,0.222
36,117,234.0,0.234
37,124,248.0,0.248
38,139,278.0,0.278
39,168,336.0,0.336
40,178,356.0,0.356
41,181,362.0,0.362
42,192,384.0,0.384
