file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error,rank_for_t0,t0_ms,dt_ms,R_um_final,v_eff_um_per_ms
FAPI_37_8,22889.6694,68.7697,605.57,16.5909,0.21563,0.043044,5,120.4545,9.1688,5.708334,0.004279,0.19315,0.024144,0,0.0,600.0,85.3581165531351,0.1422635275885585
FAPI_30_18,21678.5124,66.9256,600.5755,16.5224,0.244727,0.041622,3,56.1983,3.6514,5.497501,0.004382,0.793592,0.099199,1,0.017133066818960593,599.9828669331811,83.0691568193508,0.13845254822685135
FAPI_29_13,20995.2479,65.8624,592.9908,16.4177,0.2497,0.041613,0,0.0,0.0,5.542536,0.004456,0.860861,0.107608,2,0.034266133637921185,599.965733866362,81.74958696806651,0.1362570932863903
FAPI_33_4,20793.3884,65.5451,604.2386,16.5727,0.284321,0.039323,2,45.0413,8.1814,5.691802,0.004486,0.313299,0.039162,3,0.05139920045688178,599.9486007995431,81.35564574741788,0.13560435950512487
FAPI_27_18,19548.7603,63.5531,574.2465,16.1561,0.255041,0.041988,1,50.2066,0.0,5.437762,0.00461,0.344984,0.043123,4,0.06853226727584237,599.9314677327242,78.88322804073884,0.13148706524572928
FAPI_38_13,19184.0909,62.9576,593.0019,16.4179,0.31445,0.038027,5,139.2562,8.6696,5.901393,0.004684,0.413142,0.051643,5,0.08566533409480297,599.9143346659052,78.14400674983652,0.130258608995158
FAPI_28_11,18970.6612,62.6064,542.7938,15.7075,0.190862,0.046906,2,47.9339,5.2595,5.600344,0.004692,0.1906,0.023825,6,0.10279840091376356,599.8972015990862,77.70810129840552,0.129535695601291
FAPI_34_28,18901.6529,62.4924,576.2017,16.1836,0.284581,0.040257,0,0.0,0.0,5.497549,0.004695,0.173072,0.021634,7,0.11993146773272416,599.8800685322673,77.56663576103142,0.12930357221371683
FAPI_9_14,18375.4132,61.6163,539.983,15.6667,0.20807,0.04603,11,327.0661,8.576,5.486163,0.00476,0.140133,0.017517,8,0.13706453455168474,599.8629354654483,76.4792500242525,0.1274945416737748
FAPI_42_25,18268.8017,61.4373,584.9682,16.3063,0.329104,0.037471,5,111.157,4.8731,5.647012,0.004785,0.248236,0.03103,9,0.15419760137064534,599.8458023986293,76.25706649118652,0.12712778215043616
