file_name,area_(µm²),area_error_(µm²),perimeter_(µm),perimeter_error_(µm),circularity_distortion,circularity_distortion_error,defects_count,defects_area_(µm²),defects_area_error_(µm²),entropy_hm_(bits),entropy_hm_error_(bits),nucleus_circularity,nucleus_circularity_error,rank_for_t0,t0_ms,dt_ms,R_um_final,v_eff_um_per_ms
FAPI_TEMPO_38_10,28717.7686,77.0287,701.7776,17.8603,0.26724,0.037349,0,0.0,0.0,5.708426,0.00382,0.150347,0.018793,0,0.0,600.0,95.60935965959838,0.1593489327659973
FAPI_TEMPO_38_16,27105.7851,74.8356,679.5483,17.5751,0.262383,0.038208,1,18.8017,0.0,5.769478,0.003937,0.244974,0.030622,1,0.009433962264150943,599.9905660377359,92.8872400822809,0.15481450099406868
FAPI_TEMPO_20_16,25066.1157,71.9649,661.8768,17.3451,0.280977,0.037742,6,141.7355,5.9863,5.583732,0.004082,0.922265,0.115283,2,0.018867924528301886,599.9811320754717,89.324086536257,0.14887815926354983
FAPI_TEMPO_38_15,24011.7769,70.4352,649.3466,17.1802,0.284382,0.037925,1,17.3554,0.0,5.553891,0.004171,0.208051,0.026006,3,0.02830188679245283,599.9716981132076,87.42531653994496,0.14571573428360088
FAPI_TEMPO_31_22,18897.9339,62.4863,539.534,15.6602,0.184195,0.047435,2,32.438,1.0227,5.565556,0.00471,0.144992,0.018124,4,0.03773584905660377,599.9622641509434,77.55900456309247,0.1292731379911913
FAPI_TEMPO_20_20,18008.4711,60.998,550.0854,15.8126,0.252129,0.043071,0,0.0,0.0,5.613918,0.004819,0.132179,0.016522,5,0.04716981132075472,599.9528301886793,75.71178498876567,0.12619622940182657
FAPI_TEMPO_48_5,17341.3223,59.8575,529.7767,15.518,0.223563,0.045565,1,16.9421,0.0,5.354749,0.004899,0.179294,0.022412,6,0.05660377358490566,599.9433962264151,74.29612592584779,0.12383855942604438
FAPI_TEMPO_38_39,17123.3471,59.4801,556.8635,15.9097,0.306093,0.039723,0,0.0,0.0,5.687271,0.004946,0.256142,0.032018,7,0.0660377358490566,599.933962264151,73.82770934064352,0.12305972654393114
FAPI_TEMPO_29_8,16954.9587,59.1869,512.2723,15.2595,0.188096,0.048453,0,0.0,0.0,5.79605,0.004979,0.356484,0.04456,8,0.07547169811320754,599.9245283018868,73.46380723899267,0.12245508188660875
FAPI_TEMPO_24_25,16766.5289,58.8571,517.9507,15.3438,0.214627,0.046613,3,142.562,10.5978,5.661129,0.004998,0.090037,0.011255,9,0.08490566037735849,599.9150943396227,73.05444480561219,0.12177464026976918
FAPI_TEMPO_28_23,15870.2479,57.2624,499.4804,15.0677,0.200614,0.048316,3,64.2562,1.0399,5.741251,0.005143,0.078695,0.009837,10,0.09433962264150944,599.9056603773585,71.07500828531462,0.11847697559747367
FAPI_TEMPO_38_12,14927.2727,55.5351,499.8113,15.0727,0.249107,0.045375,0,0.0,0.0,5.660142,0.005299,0.156166,0.019521,11,0.10377358490566038,599.8962264150944,68.93111397744423,0.11490506347967554
FAPI_TEMPO_32_15,14892.7686,55.4709,506.4491,15.1725,0.270351,0.043803,2,36.9835,2.7758,5.606567,0.005297,0.243665,0.030458,12,0.11320754716981132,599.8867924528302,68.85140142384563,0.11477399117644269
FAPI_TEMPO_23_9,14818.1818,55.3318,495.989,15.015,0.243061,0.045916,4,82.0248,5.6011,5.842931,0.00533,0.242751,0.030344,13,0.12264150943396226,599.877358490566,68.67877228233422,0.11448802211029656
FAPI_TEMPO_31_18,14720.8678,55.1498,480.5723,14.7798,0.199012,0.049359,0,0.0,0.0,5.487325,0.005328,0.13327,0.016659,14,0.1320754716981132,599.8679245283018,68.45288711182772,0.11411326445843015
FAPI_TEMPO_15_21,14396.281,54.5384,507.9931,15.1956,0.298957,0.042025,3,85.124,15.2184,5.615979,0.005394,0.301709,0.037714,15,0.14150943396226415,599.8584905660377,67.69400687342912,0.11284996034573384
FAPI_TEMPO_48_16,14248.3471,54.2575,474.5663,14.6871,0.204975,0.049303,1,21.6942,0.0,5.3983,0.005413,0.081087,0.010136,16,0.1509433962264151,599.8490566037735,67.34530231358491,0.11227041465211375
FAPI_TEMPO_28_32,14241.3223,54.2441,466.019,14.5543,0.175951,0.051567,2,106.6116,37.9851,5.558533,0.005416,0.220464,0.027558,17,0.16037735849056603,599.8396226415094,67.32869878751319,0.11224450043999808
FAPI_TEMPO_15_16,14151.2397,54.0723,491.3632,14.9448,0.263455,0.044892,1,21.281,0.0,5.627719,0.00544,0.28344,0.03543,18,0.16981132075471697,599.8301886792453,67.11541922886677,0.11189069922713782
FAPI_TEMPO_43_16,13700.0,53.2032,459.7624,14.4562,0.185552,0.051315,2,134.5041,13.8792,5.503465,0.005526,0.102206,0.012776,19,0.1792452830188679,599.8207547169811,66.03669768180366,0.11009405253568186
FAPI_TEMPO_29_6,13619.6281,53.0469,479.6521,14.7656,0.256087,0.045893,0,0.0,0.0,5.67136,0.005549,0.174207,0.021776,20,0.18867924528301888,599.811320754717,65.84270855893276,0.10977236721055161
