r_over_R,polar_mean_FAPI,polar_std_FAPI,polar_mean_FAPI_TEMPO,polar_std_FAPI_TEMPO,kinetic_mean_FAPI,kinetic_std_FAPI,kinetic_mean_FAPI_TEMPO,kinetic_std_FAPI_TEMPO
2.000000000000000042e-02,5.720715216899214806e-01,1.717802818529932107e-01,5.871475700990440583e-01,1.691410484037940698e-01,5.156003706349558957e-01,2.759663355662692608e-01,5.064499744517332314e-01,2.695846619061528782e-01
5.999999999999999778e-02,5.400976724198612855e-01,1.752541469503072491e-01,5.620750298035667170e-01,1.718238788862672672e-01,6.892572499373577077e-01,3.339629433205367204e-01,6.669598746612908080e-01,3.270296555065581035e-01
1.000000000000000056e-01,5.156293819106774201e-01,1.742558669482945077e-01,5.323489929176603574e-01,1.700544297292963802e-01,8.018221487174704842e-01,3.673223975435996880e-01,8.078541982025154722e-01,3.597813133500742389e-01
1.400000000000000133e-01,5.065107732126189477e-01,1.717048035711799814e-01,5.180863925820436977e-01,1.654975683833051769e-01,8.371618223747819831e-01,3.834573845243205992e-01,8.909702763487973298e-01,3.655776751279591341e-01
1.799999999999999933e-01,4.965369384940057640e-01,1.717364693206810122e-01,5.088092939054073005e-01,1.623189663712179265e-01,8.279685047313166679e-01,3.883010860692660549e-01,9.158537552282783878e-01,3.663183413715515591e-01
2.200000000000000011e-01,4.786065989739022308e-01,1.719093243927266312e-01,4.951771295358469716e-01,1.626876111706609396e-01,8.169253227900019620e-01,3.833279314810109084e-01,9.083855392176373167e-01,3.648095314742966222e-01
2.600000000000000089e-01,4.575967555013298882e-01,1.742762036571350315e-01,4.762209485664283815e-01,1.653206705084937778e-01,7.969601825580259202e-01,3.740074433482459826e-01,8.805991702041655600e-01,3.622970114713959799e-01
2.999999999999999889e-01,4.352991628154272430e-01,1.766361862095519597e-01,4.548697184978998664e-01,1.688563061001866483e-01,7.792410151425702702e-01,3.616424481411518732e-01,8.454807566540979424e-01,3.565916705741611903e-01
3.400000000000000244e-01,4.135326254510143240e-01,1.783137475646852654e-01,4.321448234675563937e-01,1.704760120729383599e-01,7.622571169419357640e-01,3.469762118051655797e-01,8.151856169540507846e-01,3.448150619515656379e-01
3.800000000000000044e-01,3.936616041682921563e-01,1.795170983128430986e-01,4.118999292077443752e-01,1.719133251216309610e-01,7.442176001529372531e-01,3.324745158072261453e-01,7.819678397415132931e-01,3.311094443158865697e-01
4.199999999999999845e-01,3.756498500223938719e-01,1.795728794151867647e-01,3.929230869418339767e-01,1.724315439157584062e-01,7.294892270609354412e-01,3.175754758047520943e-01,7.560491255967259905e-01,3.146155654321279860e-01
4.600000000000000200e-01,3.591753326762786580e-01,1.791509166471273173e-01,3.756318596334171644e-01,1.717844517360368195e-01,7.156172979865392803e-01,3.029659123969852264e-01,7.345523557803739223e-01,2.977576034540653782e-01
5.000000000000000000e-01,3.443999932712411005e-01,1.779688050146001066e-01,3.603928597858698790e-01,1.709738517779128830e-01,7.035847907886383368e-01,2.897240226000638574e-01,7.163398881673610497e-01,2.821704471703965766e-01
5.400000000000000355e-01,3.321670891073420506e-01,1.765461555118577608e-01,3.468364977005368166e-01,1.695789434426449305e-01,6.928938252531889885e-01,2.768165163583954924e-01,7.022296143824291459e-01,2.660780383812613725e-01
5.799999999999999600e-01,3.230364121698967028e-01,1.754638389390071329e-01,3.365831740715674592e-01,1.683235499379989175e-01,6.823907031999014716e-01,2.654814843675009639e-01,6.888784643375929218e-01,2.520572647003482269e-01
6.199999999999999956e-01,3.161672146284760787e-01,1.749416460720636390e-01,3.288050315485793740e-01,1.679612504955424468e-01,6.717689036343219566e-01,2.554847896953644226e-01,6.763304693014426938e-01,2.395086335330149641e-01
6.600000000000000311e-01,3.130944627968372251e-01,1.758915971626846264e-01,3.248313191726707738e-01,1.688992251358909236e-01,6.606533004141781351e-01,2.478909675613795160e-01,6.637268216233467300e-01,2.297190421897108148e-01
6.999999999999999556e-01,3.130455953547079950e-01,1.781591290879599998e-01,3.244385116389484347e-01,1.719713666009748954e-01,6.486582728904312090e-01,2.413032793076996529e-01,6.509635889203458925e-01,2.220721602053127852e-01
7.399999999999999911e-01,3.168292140200070772e-01,1.828343332703474822e-01,3.281432929049560299e-01,1.779687180049956685e-01,6.351773770610517067e-01,2.378420151963256679e-01,6.369619362694592946e-01,2.170304977574459282e-01
7.800000000000000266e-01,3.236330392790732202e-01,1.903260032902439058e-01,3.346714352620029365e-01,1.867725058584161213e-01,6.207824999732213245e-01,2.352322982670370932e-01,6.221018026627758157e-01,2.142167193943600445e-01
8.199999999999999512e-01,3.302227991845915200e-01,2.015705059441873226e-01,3.410284531587216006e-01,1.990500321477395584e-01,6.057245534635196105e-01,2.347643382234696485e-01,6.059607612280782929e-01,2.151310224230452706e-01
8.599999999999999867e-01,3.309455187185743608e-01,2.156402291539644411e-01,3.429994526461207505e-01,2.145086079882715380e-01,5.916649362646144716e-01,2.345991674366949553e-01,5.898426648400543204e-01,2.187225277445508653e-01
9.000000000000000222e-01,3.151207499251582611e-01,2.338887713243215094e-01,3.293077302878137935e-01,2.343270044525712359e-01,5.822027863619192445e-01,2.354659428590715475e-01,5.773991974944931993e-01,2.232921817183749214e-01
9.399999999999999467e-01,2.630289510465746439e-01,2.482378857814312167e-01,2.801031295318963110e-01,2.553306121304165233e-01,5.827379381359920618e-01,2.344047120980783383e-01,5.717611679677473413e-01,2.298745557728829048e-01
9.799999999999999822e-01,1.604893859370004061e-01,2.325413225525869987e-01,1.871246908224027949e-01,2.528247732037193773e-01,5.830022566405077544e-01,2.326927808687611898e-01,5.543654624251190821e-01,2.376113581201652336e-01
